,author,count
0,venegas-andraca s.e.,22
1,da silva a.j.,21
2,portugal r.,18
3,de oliveira w.r.,17
4,ludermir t.b.,14
5,díaz-caro a.,13
6,de paula neto f.m.,12
7,nieto-chaupis h.,11
8,aquilanti v.,10
9,lavor c.,10
10,reiser r.,10
11,nacif j.a.m.,10
12,neto o.p.v.,10
13,avila a.,9
14,vellasco m.,9
15,yakaryilmaz a.,9
16,vellasco m.m.b.r.,8
17,maziero j.,8
18,yan f.,8
19,reiser r.h.s.,8
20,dias d.m.,8
21,de lima marquezino f.,7
22,vizzotto j.k.,7
23,la guardia g.g.,7
24,pilla m.l.,7
25,ramos r.v.,7
26,delgado f.,7
27,montiel o.,7
28,pilla m.,7
29,ferreira t.a.e.,6
30,de almeida a.a.a.,6
31,terada r.,6
32,ferreira r.s.,6
33,abd-el-atty b.,6
34,drechsler r.,6
35,otsuki a.,6
36,villagra m.,6
37,yamin a.c.,6
38,rodríguez-henríquez f.,6
39,mogos g.,6
40,freytes h.,6
41,vilela neto o.p.,6
42,sergioli g.,6
43,livotto p.r.,6
44,de assis f.m.,6
45,sambrano j.r.,5
46,holik f.,5
47,de souza l.s.,5
48,de carvalho j.h.a.,5
49,m. p. pires,5
50,lópez j.,5
51,pacheco m.a.c.,5
52,poltev v.,5
53,r. sotelo,5
54,pereira f.r.f.,5
55,prampolini g.,5
56,dueck g.w.,5
57,maron a.,5
58,yakaryılmaz a.,5
59,j. a. ardila-rey,5
60,sciarrino f.,5
61,estrin d.a.,4
62,wille r.,4
63,g. m. penello,4
64,p. l. souza,4
65,wahid k.a.,4
66,palazzetti f.,4
67,lombardi a.,4
68,spagnolo n.,4
69,rocha g.b.,4
70,delgado a.,4
71,bahar a.n.,4
72,cacelli i.,4
73,brod d.j.,4
74,vahabi m.,4
75,nedjah n.,4
76,bayro-corrochano e.,4
77,da silva a.c.r.,4
78,piveta e.k.,4
79,lameira j.,4
80,hirota k.,4
81,castillo o.,4
82,torres f.s.,4
83,malherbe o.,4
84,deriabina a.,4
85,verbel j.,4
86,pinheiro s.,4
87,barán b.,4
88,borges f.,4
89,abd el-latif a.a.,4
90,wang j.,4
91,niemann p.,4
92,chaves j.f.,4
93,lanzagorta m.,4
94,s. govindarajan,4
95,silva j.r.a.,4
96,cruz-aceves i.,4
97,roitberg a.e.,4
98,da silva e.b.,3
99,de albuquerque c.d.,3
100,r. iuzzolino,3
101,mazurczyk w.,3
102,moraga c.,3
103,uhlmann j.,3
104,barrientos-salcedo c.,3
105,el-latif a.a.a.,3
106,foglia n.o.,3
107,koshiyama a.s.,3
108,soriano-correa c.,3
109,p. h. pereira,3
110,greff da silveira l.,3
111,custódio r.,3
112,longo e.,3
113,de avila a.b.,3
114,m. g. clerc,3
115,s. barbay,3
116,grillo i.b.,3
117,kreinovich v.,3
118,smith-tone d.,3
119,b. a. de castro,3
120,basso m.l.w.,3
121,loques o.,3
122,solano e.,3
123,ragni m.,3
124,bitencourt a.c.p.,3
125,monteiro c.a.,3
126,moqadam j.k.,3
127,lyakhov p.,3
128,huguenin j.a.o.,3
129,lara-nino c.a.,3
130,t. l. frantz,3
131,gargano r.,3
132,sotelo r.,3
133,deffner s.,3
134,borosky g.l.,3
135,ramírez-velásquez j.m.,3
136,yamin a.,3
137,souza a.m.,3
138,plastino a.,3
139,mendes f.v.,3
140,perez-garcia b.,3
141,köster a.m.,3
142,calaminici p.,3
143,forbes a.,3
144,hernandez-aranda r.i.,3
145,pereira f.m.q.,3
146,lizama-pérez l.a.,3
147,diaz-perez a.,3
148,cabarcas d.,3
149,morales-sandoval m.,3
