"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Classical and Quantum Convolutional Codes Derived From Algebraic Geometry Codes","F. R. Fernandes Pereira; G. G. La Guardia; F. M. de Assis","Department of Electrical Engineering, Federal University of Campina Grande, Campina Grande, Brazil; Department of Mathematics and Statistics, State University of Ponta Grossa, Ponta Grossa, Brazil; Department of Electrical Engineering, Federal University of Campina Grande, Campina Grande, Brazil","IEEE Transactions on Communications","15 Jan 2019","2019","67","1","73","82","In this paper, we construct new families of classical convolutional codes (CCC's) and new families of quantum convolutional codes (QCC's). The CCC's are derived from (block) algebraic geometry (AG) codes. Furthermore, new families of CCC's are constructed by applying the techniques of puncturing, extending, expanding, and by the direct product code construction applied to AG codes. In addition, utilizing the new CCC's constructed here, we obtain new families of QCC's. The parameters of these new codes are good. More precisely, in the classical case, a family of almost near maximum distance separable (MDS) codes is presented; in the quantum case, we construct a family of MDS (optimal) quantum convolutional codes.","1558-0857","","10.1109/TCOMM.2018.2875754","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8490857","Convolutional codes;quantum theory;algebraic geometry codes;maximum distance separable codes","Convolutional codes;Geometry;Error correction codes;Quantum communication","algebraic geometric codes;convolutional codes;error correction codes;geometry","AG codes;CCC;QCC;maximum distance separable codes;MDS quantum convolutional codes;algebraic geometry codes;classical convolutional codes;direct product code construction","","4","","40","IEEE","12 Oct 2018","","","IEEE","IEEE Journals"
"Random Laser Action from Electrospun Polymeric Nanofibers Doped Either with Organic Dye or Semiconductor Nanoprisms","L. de S. Menezes; M. C. A. de Oliveira; M. L. da S. Neto; P. I. R. Pincheira; C. Rojas-Ulloa; N. R. Gomez; H. P. de Oliveira; C. B. de Araújo; A. S. L. Gomes","Departamento de Física, Universidade Federal de Pernambuco, Recife-PE, Brazil; Graduate Program in Materials Science, Universidade Federal do Vale do São Francisco, Juazeiro-BA, Brazil; Graduate Program in Materials Science, Univ. Federal de Pernambuco, Recife-PE, Brazil; Departamento de Ciencias Fisicas, Universidad de la Frontera, Temuco, Chile; Departamento de Ingeniería Mecánica, Universidad de la Frontera, Temuco, Chile; Graduate Program in Materials Science, Universidade Federal do Vale do São Francisco, Juazeiro-BA, Brazil; Graduate Program in Materials Science, Universidade Federal do Vale do São Francisco, Juazeiro-BA, Brazil; Graduate Program in Materials Science, Univ. Federal de Pernambuco, Recife-PE, Brazil; Departamento de Física, Universidade Federal de Pernambuco, Recife-PE, Brazil","2019 Conference on Lasers and Electro-Optics Europe & European Quantum Electronics Conference (CLEO/Europe-EQEC)","17 Oct 2019","2019","","","1","1","The search for light sources with targeted characteristics motivates the work of a large part of the photonics community. One topical subject in this area is the study of Random Lasers (RLs), which use as feedback mechanism the light scattering in a random medium instead of a Fabry-Perot cavity [1]. A large variety of RLs and a diversity of applications have already been demonstrated, as reviewed in [1]. Of interest in many applications are RLs based on flexible hosts-which act not only as mechanical support-but also as scattering agent. Such host can be obtained, for example, by electrospinning fibers made by environment-friendly materials [3].","","978-1-7281-0469-0","10.1109/CLEOE-EQEC.2019.8872858","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8872858","","Zinc oxide;II-VI semiconductor materials;Scattering;Laser excitation;Materials science and technology;Photonics","dyes;electrospinning;laser materials processing;light scattering;nanofabrication;nanofibres;organic semiconductors;polymer fibres;semiconductor growth","random laser action;electrospun polymeric nanofibers;organic dye;semiconductor nanoprisms;light sources;targeted characteristics motivates;photonics community;topical subject;RLs;feedback mechanism;light scattering;random medium;Fabry-Perot cavity;flexible hosts-which;mechanical support-but;scattering agent","","","","3","IEEE","17 Oct 2019","","","IEEE","IEEE Conferences"
"Gas monitoring system with a Quantum Bragg Mirror Detector (QBMD)","D. R. Souza; P. H. Pereira; L. A. Chipana; P. L. Souza; M. P. Pires; G. M. Penello","Instituto de Física, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; Laboratorio de Semicondutores/CETUC, Pontificia Universidade Católica, Rio de Janeiro, Brazil; Instituto de Física, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; Laboratorio de Semicondutores/CETUC, Pontificia Universidade Católica, Rio de Janeiro, Brazil; Instituto de Física, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; Instituto de Física, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil","2022 36th Symposium on Microelectronics Technology (SBMICRO)","16 Sep 2022","2022","","","1","4","In this work we show the different steps that are being pursued by our group to develop a sensing system to detect a broad variety of gases. In the prototype discussed in this contribution we use CO2 as a first example. We present the idealization, the fabrication and the characterization of a photovoltaic quantum Bragg mirror detector (QBMD) tuned to absorb a prominent CO2 absorption line. The prototype is designed to use a custom-made read-out integrated circuit (ROIC) created specifically to work with photodetectors.","","978-1-6654-8714-6","10.1109/SBMICRO55822.2022.9880991","CAPES; CNPq; FINEP; FAPERJ; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9880991","photodetector;mid-infrared;superlattice;CO2 phototodetector","Integrated circuits;Photovoltaic systems;Buildings;Prototypes;Detectors;Photodetectors;Sensors","carbon compounds;gas sensors;infrared detectors;mirrors;photodetectors;readout electronics","sensing system;photovoltaic quantum Bragg mirror detector;QBMD;prominent CO2 absorption line;gas monitoring system","","","","10","IEEE","16 Sep 2022","","","IEEE","IEEE Conferences"
"Validation of a System for Evaluation of High-Voltage Impulses According to IEC 60060:2010","C. R. H. Barbosa; M. T. F. da Silva; L. C. Azevedo; L. C. Faria","Postgraduate Program in Metrology, Pontifical Catholic University of Rio de Janeiro, Rio de Janeiro, Brazil; Centro de Pesquisas de Energia Elétrica, Rio de Janeiro, Brazil; Centro de Pesquisas de Energia Elétrica, Rio de Janeiro, Brazil; Postgraduate Program in Metrology, Pontifical Catholic University of Rio de Janeiro, Rio de Janeiro, Brazil","IEEE Transactions on Instrumentation and Measurement","8 May 2015","2015","64","6","1378","1382","This paper describes IMPREAL 2.0, a system developed in LabVIEW that automates the acquisition of voltage impulse waveforms from digital oscilloscopes and implements the mathematical procedures described in the new standards from the International Electrotechnical Commission IEC 60060:2010. The system controls commercial digital oscilloscopes and is able to automatically calculate the time and amplitude parameters of lightning impulses (LI), switching impulses, chopped LI, and oscillating impulses (lightning and switching) waveforms, generating test reports tailored for the needs of the calibration and tests labs. The estimated uncertainty due to the software processing is also presented here, following the guidelines defined by standard IEC 61083-2:2013.","1557-9662","","10.1109/TIM.2015.2406059","Centro de Pesquisas de Energia Elétrica, Rio de Janeiro, Brazil; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7054520","High-voltage techniques;impulse testing;measurement standards;measurement techniques;software.;High-voltage techniques;impulse testing;measurement standards;measurement techniques;software","IEC standards;Silicon;Calibration;Laboratories;Metrology;Uncertainty","calibration;IEC standards;mathematical analysis;measurement uncertainty;oscilloscopes;time measurement;virtual instrumentation;voltage measurement","high-voltage impulse waveform acquisition;IEC 60060:2010 standard;IMPREAL 2.0;LabVIEW;digital oscilloscope;mathematical procedure;International Electrotechnical Commission;lightning impulse;LI;switching impulse;chopped LI;oscillating impulse;calibration;IEC 61083-2:2013 standard","","4","","10","IEEE","4 Mar 2015","","","IEEE","IEEE Journals"
"Q-NAS Revisited: Exploring Evolution Fitness to Improve Efficiency","D. Szwarcman; D. Civitarese; M. Vellasco","PUC-Rio, IBM Research, Rio de Janeiro, Brazil; IBM Research, Rio de Janeiro, Brazil; Dept. of Electrical Engineering, PUC-Rio, Rio de Janeiro, Brazil","2019 8th Brazilian Conference on Intelligent Systems (BRACIS)","5 Dec 2019","2019","","","509","514","Over the last decade, the scientific community has witnessed the success of deep neural networks in a variety of tasks. However, the design of these new structures still demands expert knowledge and significant time. In this scenario, the idea of automating the design of such complex networks has inspired many researchers. New algorithms have been proposed to address the neural architecture search problem, but computational cost is a major drawback. Q-NAS (Quantum-inspired Neural Architecture Search) is an evolutionary algorithm recently proposed with the idea of improving efficiency, but with minor humanbias introduced in the search. This work extends the analysis of Q-NAS, focusing on fitness behavior during evolution. We want to verify if good individuals are obtained early in evolution, so we could apply an early-stopping mechanism. We experiment with a simple early-stopping technique, and results indicated an evolution time reduction of more than 45% in most cases. This new feature can improve efficiency, making Q-NAS very competitive compared to other algorithms.","2643-6264","978-1-7281-4253-1","10.1109/BRACIS.2019.00095","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8923858","Neural architecture search, evolutionary algorithms, deep learning, quantum inspired algorithms","Sociology;Statistics;Computer architecture;Training;Evolutionary computation;Quantum computing;Probability density function","evolutionary computation;neural net architecture;quantum computing;search problems","neural architecture search problem;computational cost;quantum-inspired neural architecture search;evolutionary algorithm;fitness behavior;early-stopping mechanism;simple early-stopping technique;evolution time reduction;Q-NAS;evolution fitness;scientific community;deep neural networks;expert knowledge;complex networks","","2","","27","IEEE","5 Dec 2019","","","IEEE","IEEE Conferences"
"A Simple and Effective Heuristic Method for Threshold Logic Identification","A. Neutzling; M. G. A. Martins; V. Callegaro; A. I. Reis; R. P. Ribas","Institute of Informatics, Federal University of Rio Grande do Sul, Porto Alegre, Brazil; Carnegie Mellon University, Pittsburgh, PA, USA; Mentor-A Siemens Business, Fremont, CA, USA; Institute of Informatics, Federal University of Rio Grande do Sul, Porto Alegre, Brazil; Institute of Informatics, Federal University of Rio Grande do Sul, Porto Alegre, Brazil","IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems","19 Apr 2018","2018","37","5","1023","1036","In this paper, a straightforward and effective method to identify threshold logic function (TLF) is presented. Threshold logic is a promising alternative to conventional Boolean logic due to its suitability for emerging technologies, like memristors, quantum-dot cellular automata, resonant tunneling device, and spintronic devices. Identification and synthesis of TLF are essential tasks in a design flow based on such a logic strategy. The proposed method relies on irredundant sum-of-products Boolean function description form and exploits both ordering of variables and system of inequalities to assign the variable weights and the function threshold value. This is the first heuristic algorithm able to identify all threshold functions with up to six variables, being also more effective than other heuristic methods for functions with a larger number of variables. For functions obtained from k -cuts of benchmark circuits, experimental results demonstrated effectiveness near to 100% when compared to exact methods, even when the number of function variables increases. The execution time of the proposed approach is similar to related heuristic methods, being faster than integer linear programming-based algorithms.","1937-4151","","10.1109/TCAD.2017.2729403","Brazilian funding agencies CAPES, CNPq, and FAPERGS; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7984837","Digital circuit;linear separable function;threshold functions;threshold logic gate;threshold logic identification","Logic gates;Logic functions;Integrated circuit reliability;Heuristic algorithms;Algorithm design and analysis","Boolean functions;logic design;threshold logic","conventional Boolean logic;design flow;logic strategy;sum-of-products Boolean function description form;variable weights;function threshold value;threshold logic function identification;TLF identification;TLF synthesis;effective heuristic method;benchmark circuits","","6","","30","IEEE","19 Jul 2017","","","IEEE","IEEE Journals"
"Designing Partially Reversible Field-Coupled Nanocomputing Circuits","J. F. Chaves; M. A. Ribeiro; F. S. Torres; O. P. V. Neto","Department of Computing, Federal Center of Technological Education of Minas Gerais, Belo Horizonte, Brazil; Department of Computer Science, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Cyber-Physical Systems, DFKI GmbH, Bremen, Germany; Department of Computer Science, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil","IEEE Transactions on Nanotechnology","10 Jun 2019","2019","18","","589","597","Energy scalability of future digital systems is bounded by fundamental thermodynamic limits. Even worse, emerging technologies and process improvements, without reversible techniques, cannot solve this problem. Approaches such as field-coupled nanocomputing allow computations near the fundamental energy limits. However, there is a demand for strategies that avoid information losses within logic gates, consequently improving energy efficiency. For that end, we propose a novel way to reduce such losses by embedding fan-outs in logic gates, making them partially reversible. Simulation results for state-of-the-art benchmarks indicate an average reduction of the fundamental energy limit by 44% without affecting the delay. If delay is not the main concern, the average reduction reaches even 77%. To the best of our knowledge, this paper presents the first post-synthesis strategy to reduce fundamental energy limits for field-coupled nanocomputing circuits by means of logic network changes.","1941-0085","","10.1109/TNANO.2019.2918057","Brazilian National Council for Scientific and Technological Development; Foundation for Support of Research of the State of Minas Gerais, Brazil; Coordination for the Improvement of Higher Education Personnel, Brazil(grant numbers:001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8723304","Reversible computing;nanocomputing;energy efficiency;low power","Logic gates;Entropy;Energy dissipation;Delays;Quantum dots;Energy loss;Scalability","flip-flops;logic design;logic gates;logic testing;low-power electronics;nanoelectronics;sequential circuits","partially reversible field-coupled nanocomputing circuits;digital systems;average reduction;energy efficiency;logic gates;fundamental energy limit;reversible techniques;process improvements;fundamental thermodynamic limits;energy scalability","","5","","37","IEEE","27 May 2019","","","IEEE","IEEE Journals"
"A Proposal for Single-Photon Detection in Millimeter-Wave and THz Regions","V. F. Guedes; F. A. Mendonca; J. B. Rosa Silva; R. V. Ramos","Dept. of Teleinformatic Engineering, Federal University of Ceara, Fortaleza, Brazil; Dept. of Telematic, Federal Institute of Education, Science and Technology of Ceara, Fortaleza, Brazil; Dept. of Teleinformatic Engineering, Federal University of Ceara, Fortaleza, Brazil; Dept. of Teleinformatic Engineering, Federal University of Ceara, Fortaleza, Brazil","2021 SBMO/IEEE MTT-S International Microwave and Optoelectronics Conference (IMOC)","1 Dec 2021","2021","","","1","3","Quantum key distribution (QKD) allows secure communication between spatially distant users. It has been successfully implemented in fiber-based and free space optical networks. However, QKD has not been implemented in other important regions of the electromagnetic spectrum: millimeter- wave and THz regions. One of the reasons for this is that single- photon detectors in these regions are not easily available. In the present work, a proposal of a simple and cheap single-photon detector working in the mmWave and THz region, using glow discharge detector, is presented and its parameters are discussed.","","978-1-6654-4015-8","10.1109/IMOC53012.2021.9624745","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9624745","single-photon detector;millimeter-wave;THz;glow discharge detectors","Neon;Detectors;Avalanche photodiodes;Voltage;Optical fiber networks;Silicon;Electromagnetic spectrum","glow discharges;quantum cryptography;telecommunication security","single-photon detection;THz regions;quantum key distribution;QKD;secure communication;spatially distant users;fiber-based;free space optical networks;important regions;electromagnetic spectrum;photon detectors;simple photon detector;cheap single-photon detector;glow discharge detector","","","","25","IEEE","1 Dec 2021","","","IEEE","IEEE Conferences"
"A Digital Five-Terminal Impedance Bridge","W. G. Kürte Ihlenfeld; R. T. de Barros e Vasconcellos","Brazilian National Institute of Metrology, Quality and Technology, Duque de Caxias, Brazil; Brazilian National Institute of Metrology, Quality and Technology, Duque de Caxias, Brazil","IEEE Transactions on Instrumentation and Measurement","10 May 2017","2017","66","6","1546","1552","This paper describes a five-terminal (four terminal with shield) digital impedance bridge aided by digital adaptive phase regulation. It allows the comparison of ac resistances and capacitances with outstanding accuracy and with measurement uncertainties bearing only some  $10^{\mathrm { {-6}}} \Omega /\Omega $ , as corroborated by extensive experimental investigations.","1557-9662","","10.1109/TIM.2017.2659878","Brazilian National Institute of Metrology, Quality and Technology(grant numbers:52600.057476); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7867092","Adaptive signal processing;digital signal processing;electrical resistance measurements;electronic circuits;impedance;precision measurements;uncertainty","Bridge circuits;Impedance;Voltage measurement;Standards;Generators;Capacitance;Multiplexing","adaptive control;bridge circuits;digital circuits;digital control;measurement uncertainty;phase control","digital five-terminal impedance bridge;digital adaptive phase regulation;AC resistance;AC capacitance;measurement uncertainty","","14","","21","IEEE","1 Mar 2017","","","IEEE","IEEE Journals"
"Replica Symmetry Breaking Enabled by Rayleigh Scattering in a Random Fibre Laser","B. C. Lima; P. Tovar; A. L. Moura; J. P. Von der Weid","Center for Telecommunications Studies, Pontifical Catholic University of Rio de Janeiro, Rio de Janeiro, Brazil; Department of Physics, University of Ottawa, Ottawa, ON, Canada; Programa de Pós-graduação em Física, Instituto de Física, Universidade Federal de Alagoas, Maceió, AL, Brazil; Center for Telecommunications Studies, Pontifical Catholic University of Rio de Janeiro, Rio de Janeiro, Brazil","2023 Conference on Lasers and Electro-Optics Europe & European Quantum Electronics Conference (CLEO/Europe-EQEC)","4 Sep 2023","2023","","","1","1","The light confinement in single-mode fibres allows the creation of one dimensional Random Lasers, which belong to the subclass of Random Fibre Lasers (RFLs), which have been thoroughly characterised in [1]. The evolution from spontaneous emission to lasing regime has been regarded as the photonic analogue to a spin-glass phase transition [2]: the high disorder of multiple scatterers under sufficiently high pumping may lead to strong fluctuation of the emitted spectra, where a phase transition at the lasing threshold is characterised by the change on the distribution of the intensity fluctuation overlap (IFO) parameter q. This transition is known as replica symmetry breaking (RSB) because the system can produce a different output under same initial conditions (replicas) - pumping and scatterers' positions are fixed. Uncontrolled environment perturbation in Brillouin-based RFL lead to the observation of RSB near threshold but a strong decrease of the q parameter above threshold [3].","2833-1052","979-8-3503-4599-5","10.1109/CLEO/Europe-EQEC57999.2023.10231479","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10231479","","Fluctuations;Rayleigh scattering;Spontaneous emission;Perturbation methods;Europe;Laser transitions;Pump lasers","fibre lasers;fluctuations;laser beams;optical pumping;Raman lasers;Rayleigh scattering;spin glasses;spontaneous emission","dimensional Random Lasers;high disorder;initial conditions;intensity fluctuation overlap parameter q;lasing regime;lasing threshold;light confinement;multiple scatterers;Random Fibre laser;Random Fibre Lasers;rayleigh scattering;replica symmetry;single-mode fibres;spin-glass phase transition;sufficiently high pumping","","","","3","IEEE","4 Sep 2023","","","IEEE","IEEE Conferences"
