"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Quantum-resistant Cryptography in FPGA","R. C. Policarpo; A. S. Nery; R. d. O. Albuquerque","Department of Electrical Engineering, Professional Post-Graduate Program in Electrical Engineering, University of Brasília, Brasília; Department of Electrical Engineering, Professional Post-Graduate Program in Electrical Engineering, University of Brasília, Brasília; Department of Electrical Engineering, Professional Post-Graduate Program in Electrical Engineering, University of Brasília, Brasília","2022 Workshop on Communication Networks and Power Systems (WCNPS)","13 Dec 2022","2022","","","1","5","The use of cryptography techniques to guarantee confidentiality, authenticity and integrity of sensitive data has become mandatory. Besides, advancements in quantum computers are gradually posing a threat to public key encryption technology. Without proper security measures, fraudsters may easily gain access to one's personal and sensitive data. The result of the third round of NIST's Post-Quantum Cryptography (PQC) process for standardization of public-key cryptography systems brought CRYSTALS-Kyber as the first mechanism selected for key encapsulation. The aim of this study is to provide the specification of a reconfigurable CRYSTAL-Kyber accelerator using High-Level Synthesis (HLS) technology. Our architecture requires about 2200 LUTs, 3001 FFs and 28 DSP on a low-cost Zynq FPGA (XC7Z020-1 CLG400C). The total time spent by the accelerator in a key exchange simulation is approximately 0.84 ms, operating at 100 MHz, and the estimated power consumption in this process is 1.695W.","2768-0045","978-1-6654-7456-6","10.1109/WCNPS56355.2022.9969738","CNPq(grant numbers:426729/2018-8); FAPDF(grant numbers:00193-00002139/2018-79); AGU(grant numbers:697.935/2019); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9969738","Post-Quantum Cryptography;CRYSTALS-Kyber;accelerator;FPGA;HLS","Quantum computing;Power demand;Standardization;NIST;Gain measurement;Public key cryptography;Table lookup","cryptography;field programmable gate arrays;public key cryptography;quantum cryptography","authenticity;cryptography techniques;CRYSTALS-Kyber;fraudsters;frequency 100.0 MHz;High-Level Synthesis;key encapsulation;key exchange simulation;low-cost Zynq FPGA;NIST's Post;power 1.695 W;proper security measures;public key encryption technology;public-key cryptography systems;quantum computers;Quantum-resistant cryptography;reconfigurable CRYSTAL-Kyber accelerator;sensitive data;time 0.84 ms;XC7Z020-1 CLG400C","","","","20","IEEE","13 Dec 2022","","","IEEE","IEEE Conferences"
"Novel Three-Input Gates for Silicon Quantum Dot","M. D. Vieira; Í. G. S. Moreira; P. A. R. L. Silva; L. O. Luz; R. S. Ferreira; O. P. V. Neto; J. A. M. Nacif","Science and Technology Institute, Universidade Federal de Viçosa, Florestal, Minas Gerais, Brasil; Science and Technology Institute, Universidade Federal de Viçosa, Florestal, Minas Gerais, Brasil; Department of Computer Science, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Department of Computer Science, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Informatics Departament, Universidade Federal de Viçosa, Viçosa, Minas Gerais, Brasil; Department of Computer Science, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Science and Technology Institute, Universidade Federal de Viçosa, Florestal, Minas Gerais, Brasil","2021 34th SBC/SBMicro/IEEE/ACM Symposium on Integrated Circuits and Systems Design (SBCCI)","13 Sep 2021","2021","","","1","6","Atomic Silicon Quantum Dot (SQD) is a prominent alternative to the current Complementary Metal Oxide Semiconductor (CMOS) transistor due to the low energy consumption and high integration potential. This emerging technology applies Silicon Dangling Bonds (DBs) that behave similarly to quantum-dots. Moreover, it does not require cryogenic temperatures, unlike other quantum-dot-based approaches. This paper proposes two novel 3-input gates, ORAND(x, y, z): = x ^ (y V z) and ANDOR(x, y, z): = x ^ y V z. Hence, we compare these 3-input designs with the equivalent circuits composed of 2-input gates. We use the state-of-the-art simulator, named SiQAD, to design and validate our experiments. Our main contribution is the novel 3-input gate designs that provide area and energy reductions. We achieve an average of 53% energy savings for all 3-input gates compared to the equivalent circuit built with 2-input gates.","","978-1-6654-2170-6","10.1109/SBCCI53441.2021.9530002","CAPES; CNPq; FAPEMIG; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9530002","","Integrated circuits;Energy consumption;Quantum dots;Metals;Cryogenics;Logic gates;Silicon","CMOS logic circuits;cryogenics;dangling bonds;elemental semiconductors;logic gates;semiconductor quantum dots;silicon","2-input gates;three-input gates;Atomic Silicon Quantum Dot;complementary metal oxide semiconductor transistor;low energy consumption;high integration potential;silicon dangling bonds;quantum-dots;quantum-dot-based approaches;novel 3-input gate;3-input designs;equivalent circuit;V","","2","","26","IEEE","13 Sep 2021","","","IEEE","IEEE Conferences"
"The Role of Defects on the Performance of Quantum Dot Intermediate Band Solar Cells","L. J. Collazos; M. M. A. Huwayz; R. Jakomin; D. N. Micha; L. Dornelas Pinto; R. M. S. Kawabata; M. P. Pires; M. Henini; P. L Souza","LabSem - Pontifícia Universidade Católica do Rio de Janeiro, Rio de Janeiro, Brazil; School of Physics and Astronomy, University of Nottingham, Nottingham, U.K.; Universidade Federal do Rio de Janeiro, Campus Duque de Caxias, Rio de Janeiro, Brazil; Centro Federal de Educação Tecnológica Celso Suckow da Fonseca, Petrópolis, Brazil; LabSem - Pontifícia Universidade Católica do Rio de Janeiro and Instituto Nacional de Ciência e Tecnologia de Nanodispositivos Semicondutores DISSE, Rio de Janeiro, Brazil; LabSem - Pontifícia Universidade Católica do Rio de Janeiro and Instituto Nacional de Ciência e Tecnologia de Nanodispositivos Semicondutores DISSE, Rio de Janeiro, Brazil; Instituto de Física, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; School of Physics and Astronomy, University of Nottingham, Nottingham, U.K.; LabSem - Pontifícia Universidade Católica do Rio de Janeiro and Instituto Nacional de Ciência e Tecnologia de Nanodispositivos Semicondutores DISSE, Rio de Janeiro, Brazil","IEEE Journal of Photovoltaics","21 Jun 2021","2021","11","4","1022","1031","Electrically active defects present in three InAs/GaAs quantum dots (QDs) intermediate band solar cells grown by metalorganic vapor phase epitaxy have been investigated. The devices' structures are almost identical, differing only in the growth temperature and thickness of the GaAs layers that cover each InAs QD layer. These differences induce significant changes in the solar energy conversion efficiency of the photovoltaic cells, as previously reported. In this work, a systematic investigation was carried out using deep level transient spectroscopy (DLTS) and Laplace DLTS measurements on control samples and solar cell devices, which have clearly shown that electrically active traps play an important role in the device figures of merit, such as open circuit voltage, short circuit current, and shunt resistance. In particular, it was found that the well-known EL2 defect negatively affects both the open circuit voltage and shunt resistance, more in structures containing QDs, as a consequence of the temperature cycle required to deposit them. Other unidentified defects, that are absent in samples in which the QDs were annealed at 700 °C, contribute to a reduction of the short circuit current, as they increase the Shockley-Read-Hall recombination. Photoluminescence results further support the DLTS-based assignments.","2156-3403","","10.1109/JPHOTOV.2021.3070433","Conselho Nacional de Desenvolvimento Científico e Tecnológico(grant numbers:140654/2014-3,201118/2016-5,153755/2016-4); Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro(grant numbers:E-26/010.000980/2019); Coordenação de Aperfeiçoamento de Pessoal de Nível Superior; Financiadora de Estudos e Projetos; Princess Nourah Bint Abdulrahman University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9429869","Deep level transient spectroscopy (DLTS);intermediate band solar cell (IBSC);metalorganic vapor phase epitaxy (MOVPE) growth;nonradiative recombination;point defects;power conversion efficiency;quantum dots (QDs)","Photovoltaic cells;Gallium arsenide;Power conversion;Epitaxial growth;Quantum dots","annealing;deep level transient spectroscopy;electrical resistivity;electron-hole recombination;gallium arsenide;III-V semiconductors;indium compounds;MOCVD;photoluminescence;semiconductor epitaxial layers;semiconductor growth;semiconductor quantum dots;short-circuit currents;solar cells;vapour phase epitaxial growth;wide band gap semiconductors","photoluminescence;Shockley-Read-Hall recombination;annealing;short circuit current;Laplace DLTS measurements;deep level transient spectroscopy;photovoltaic cells;solar energy conversion efficiency;InAs QD layer;GaAs layers;growth temperature;metalorganic vapor phase epitaxy;electrically active defects;quantum dot intermediate band solar cells;unidentified defects;EL2 defect;shunt resistance;open circuit voltage;electrically active traps;solar cell devices;temperature 700.0 degC;InAs-GaAs","","2","","46","IEEE","12 May 2021","","","IEEE","IEEE Journals"
"Numerical Simulations of Gain and Power of a Multi-Quantum Well Laser","W. G. Daniel","Idea! Electronic Systems, Campinas, Brasil","2021 SBFoton International Optics and Photonics Conference (SBFoton IOPC)","5 Jul 2021","2021","","","1","4","This paper presents the results and procedures of simulations of our Multi-Quantum Well (MQW) laser in a model constructed in the commercial solvers of the Ansys/Lumerical® software. Usually, the design and fabrication of lasers MQW are challenging and expensive, thus simulations can hasten the development and give insights about design parameters. In this work, simulated power curves are compared to the measured curves, and a good agreement is obtained when the parameters are adjusted. Nonradiative recombinations and self-heating are the main effects that influence the performance of the simulated laser.","","978-1-6654-1948-2","10.1109/SBFotonIOPC50774.2021.9461970","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9461970","Lasers;Active Regions;Muti-Quantum Well;Lumerical;Self-Heating;Recombinations","Temperature measurement;Semiconductor device modeling;Semiconductor device measurement;Temperature;Semiconductor lasers;Power lasers;Measurement by laser beam","numerical analysis;quantum well lasers","self-heating;nonradiative recombinations;laser MQW;Ansys-Lumerical software;simulated laser;measured curves;simulated power curves;design parameters;multiquantum well laser;numerical simulations","","1","","11","IEEE","5 Jul 2021","","","IEEE","IEEE Conferences"
"Wavefront Sensor for spatial scan using the Hartmann-Shack method","C. F. G. Souza; H. A. Cordeiro; D. W. de Lima Monteiro; T. E. O. Crespo; Ú. V. Abecassis; L. P. Salles","Graduated Program in Electrical Engineering — Federal University of Minas Gerais - UFMG, Belo Horizonte, MG, Brasil; Graduated Program in Electrical Engineering — Federal University of Minas Gerais - UFMG, Belo Horizonte, MG, Brasil; Graduated Program in Electrical Engineering — Federal University of Minas Gerais - UFMG, Belo Horizonte, MG, Brasil; Graduated Program in Electrical Engineering — Federal University of Minas Gerais - UFMG, Belo Horizonte, MG, Brasil; Departament of Electronics and Telecommunications, Federal Institute of Amazonas — IFAM, Manaus, AM, Brazil; Graduated Program in Electrical Engineering — Federal University of Minas Gerais - UFMG, Belo Horizonte, MG, Brasil","2016 1st International Symposium on Instrumentation Systems, Circuits and Transducers (INSCIT)","20 Oct 2016","2016","","","31","36","This paper presents a simplified instrument to measure the profile of a refractive object contactlessly based on the Hartmann-Shack (H-S) method. The sensing device has been designed with a simple CMOS Position-Sensitive Detector (PSD) of the quad-cell (QC) type, comprising four Active-Pixel Sensor (APS) pixels. A collimated laser beam traverses the object and the resulting wavefront is shaped by its profile. We demonstrate the reconstruction of this wavefront, and therefore the profile of the object, by sequentially sampling the wavefront through a moving single aperture coupled to a converging lens. Notwithstanding, we propose a sequence of steps for instrument calibration, among them the focalization step, using a feature of the QC not yet explored. A target lens was used as a test structure and its sagitta was measured, presenting an average error of 4% with respect to the datasheet value.","","978-1-5090-3302-7","10.1109/INSCIT.2016.7598190","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7598190","Wavefront Sensor;PSD;Optoeletronic;Quad-cell;Hartmann;quadrant sensor;APS;CMOS technology","Lenses;Laser beams;Measurement by laser beam;Transistors;Quantum cascade lasers;Apertures;Optical sensors","CMOS image sensors;wavefront sensors","wavefront sensor;spatial scan;Hartmann-Shack method;refractive object;sensing device;CMOS;position-sensitive detector;quad-cell;active-pixel sensor;collimated laser beam;wavefront reconstruction;instrument calibration","","","","17","IEEE","20 Oct 2016","","","IEEE","IEEE Conferences"
"Quantum Virtual Machine: A Scalable Model to Optimize Energy Savings and Resource Management","A. F. Monteiro; O. Loques","Programa de Pós Graduação em Computação, Universidade Federal Fluminense, Brasil; Programa de Pós Graduação em Computação, Universidade Federal Fluminense, Brasil","2015 27th International Symposium on Computer Architecture and High Performance Computing (SBAC-PAD)","14 Jan 2016","2015","","","194","201","This work presents a model for managing Virtual Application Servers (VAS) on cluster-based web servers. In addition to providing energy savings, our model has linear scalability and defines a default processing virtual web server, known as Quantum Virtual Machine (QVM). A set of QVM performs a Logical Web Server (LWS), which operates in a flexible manner, changing its performance and power consumption depending on the workload of the applications. Concepts of agile VAS clone, co-allocation of VAS in the same core, and Dynamic Voltage and Frequency Scaling (DVFS) are used in the model, enabling rapid configuration actions and a fine-grained QoS control. The experiments evaluate the effectiveness of the proposed model by means of power consumption reduction and QoS violation as compared to the Linux CPU governors and state-of-the-art approaches based on optimization. The results show our model conserves up to 51.8% of the energy required by a cluster designed for peak workload scenario, with a negligible impact on the applications performance.","1550-6533","978-1-4673-8011-9","10.1109/SBAC-PAD.2015.24","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7379851","power-aware computing;resource management;scalability;virtualization;web server clusters","Cloning;Web servers;Power demand;Optimization;Performance evaluation;Resource management","energy conservation;energy consumption;Internet;power aware computing;quality of service;quantum computing;virtual machines","quantum virtual machine;energy saving optimization;resource management;virtual application server management model;cluster-based Web servers;linear scalability;default processing virtual Web server;QVM;logical Web server;LWS;power consumption;agile VAS clone;VAS coallocation;dynamic voltage and frequency scaling;DVFS;fine-grained QoS control;power consumption reduction;QoS violation","","2","","21","IEEE","14 Jan 2016","","","IEEE","IEEE Conferences"
"GaAs/AlGaAs based quantum Bragg mirror detector","G. M. Penello; P. H. Pereira; G. M. Torelly; F. M. Fernandes; J. Rushing; J. A. Tenorio; P. Simmonds; A. A. Quivy","Instituto de Física, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brasil; LabSem, Pontifícia Universidade Católica do Rio de Janeiro, Rio de Janeiro, Brasil; LabSem, Pontifícia Universidade Católica do Rio de Janeiro, Rio de Janeiro, Brasil; Departamento de Eletrônica e Telecomunicações, Universidade do Estado do Rio de Janeiro, Rio de Janeiro, Brasil; Micron School of Materials Science & Engineering, Boise State University, Boise, United States of America; Micron School of Materials Science & Engineering, Boise State University, Boise, United States of America; Department of Physics, Boise State University, Boise, United States of America; Instituto de Física, Universidade de São Paulo, São Paulo, Brasil","2023 37th Symposium on Microelectronics Technology and Devices (SBMicro)","3 Nov 2023","2023","","","1","3","In this work we present a far-infrared asymmetric quantum Bragg mirror detector (QBMD) based on GaAs/AlGaAs. The heterostructure is designed to explore a transition at 111 meV (11,2 μm) between the ground state and a leaky electronic state in the continuum. The calculated photovoltaic photocurrent shows a good agreement with the expected absorption.","2832-4218","979-8-3503-1945-3","10.1109/SBMicro60499.2023.10302623","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10302623","Quantum Bragg mirror detector;far-infrared;III–V semiconductors;leaky electronic state;quasi-bound state in the continuum","Photovoltaic systems;Absorption;Stationary state;Detectors;Microelectronics;Mirrors;Photoconductivity","","","","","","11","IEEE","3 Nov 2023","","","IEEE","IEEE Conferences"
"Two Stage Quantum Optimization for the School Timetabling Problem","O. M. Pires; R. de Santiago; J. Marchi","Informática e Estatíıstica, Universidade Federal de Santa Catarina, Florianópolis, Brasil; Informática e Estatíıstica, Universidade Federal de Santa Catarina, Florianópolis, Brasil; Informática e Estatíıstica, Universidade Federal de Santa Catarina, Florianópolis, Brasil","2021 IEEE Congress on Evolutionary Computation (CEC)","9 Aug 2021","2021","","","2347","2353","Timetabling is an NP-Hard problem that searches for periodic scheduling of events that must meet a set of hard and soft constraints. Because of the difficulty in finding an exact solution, the use of heuristics to address the problem is a common practice. When only the hard constraints are considered, the timetabling problem can be reduced to graph vertex coloring. This similarity between both problems has motivated the use of graph coloring heuristics as a means to solve the timetabling problem. We propose the use of the Quantum Approximate Optimization Algorithm as a heuristic to solve the school timetabling problem. The QAOA is a hybrid quantum-classical algorithm that can be used to address combinatorial optimization problems. We simulated QAOA in a minimal example with 42 qubits using the Ket Quantum Programming Language and our results showed that it is possible to apply QAOA to the school timetabling problem.","","978-1-7281-8393-0","10.1109/CEC45853.2021.9504701","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9504701","qaoa;quantum computing;school timetabling;timetabling problem","Limiting;NP-hard problem;Heuristic algorithms;Computational modeling;Qubit;Evolutionary computation;Approximation algorithms","combinatorial mathematics;computational complexity;education;graph colouring;optimisation","graph coloring heuristics;quantum approximate optimization algorithm;school timetabling problem;hybrid quantum-classical algorithm;combinatorial optimization problems;NP-hard problem;hard constraints;soft constraints;two stage quantum optimization;QAOA;graph vertex coloring;NP","","1","","32","IEEE","9 Aug 2021","","","IEEE","IEEE Conferences"
"Exploring Quantum Tunneling in Ultrathin Transistors with Multiple Top Gates","S. Blawid; D. Neves; R. Moura","Computer Engineering, Universidade Federal de Pernambuco, Recife, Brazil; Electrical Engineering, Universidade de Brasilia, Brasilia, Brazil; Electrical Engineering, Universidade de Brasilia, Brasilia, Brazil","2020 IEEE Latin America Electron Devices Conference (LAEDC)","23 Apr 2020","2020","","","1","4","With the advent of fully depleted silicon-on-insulator technology, electrostatic doping has become part of a production platform in the form of body biasing. Transistor technologies with multiple top gates further evolve the concept. Taking electrostatic control over the polarity of the charge injection into the transistor channel, new dynamic device modes can be realized including n-type, p-type, high performance and low power. We discuss the density matrix of two exemplary device architectures and point to quantum tunneling as the current bottleneck. The arising challenge to achieve competitive current drives of several hundreds of μA per micron is addressed.","","978-1-7281-1044-8","10.1109/LAEDC49063.2020.9072965","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9072965","Electrostatic doping;Polarity;Ultralow leakage;Reconfigurable architectures;Tunnel transistors","Transistors;Logic gates;Tunneling;Electrostatics;Performance evaluation;Effective mass;Couplings","charge injection;electrostatics;elemental semiconductors;low-power electronics;MOSFET;resonant tunnelling;silicon;silicon-on-insulator","quantum tunneling;ultrathin transistors;multiple top gates;fully depleted silicon-on-insulator technology;electrostatic doping;production platform;body biasing;transistor technologies;electrostatic control;charge injection polarity;transistor channel;dynamic device modes;exemplary device architectures;density matrix;competitive current drives;Si","","","","20","IEEE","23 Apr 2020","","","IEEE","IEEE Conferences"
"POSTER: QMapper: Scalability and energy saving for virtualized web server clusters","A. F. Monteiro; O. Loques","Programa de Pós Graduação em Computação Instituto de Computação, Universidade Federal Fluminense, Niterói, Brasil; Programa de Pós Graduação em Computação Instituto de Computação, Universidade Federal Fluminense, Niterói, Brasil","2014 IEEE International Conference on Cluster Computing (CLUSTER)","1 Dec 2014","2014","","","270","271","This paper presents the Quantum Mapper (QMapper), a model for managing Virtual Application Servers (VAS) on cluster-based web servers. In addition to providing energy savings and maintenance of the QoS of the cluster applications, the QMapper has linear scalability and defines a small-capacity processing virtual web server, known as Quantum VAS (QVAS). A QVAS operates in a flexible manner, changing its performance and power consumption depending on the workload. The results show that our model conserves up to 39% of the energy required by a cluster designed for peak workload scenario, with a negligible impact on the applications performance.","2168-9253","978-1-4799-5548-0","10.1109/CLUSTER.2014.6968769","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6968769","","Quality of service;Web servers;Optimization;Scalability;Energy consumption;Power demand","computer network management;file servers;Internet;quality of service;virtualisation","QMapper;virtualized Web server clusters;quantum mapper;virtual application server management;cluster-based Web servers;energy savings;QoS maintenance;linear scalability;quantum VAS;QVAS;power consumption","","1","","5","IEEE","1 Dec 2014","","","IEEE","IEEE Conferences"
