"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Discriminating Quantum States with Quantum Machine Learning","D. Quiroga; P. Date; R. Pooser","Engineering Faculty, Universidad de Antioquia, Medellín, Colombia; Computer Science and Mathematics, Oak Ridge National Laboratory, Oak Ridge, United States; Computational Science and Engineering, Oak Ridge National Laboratory, Oak Ridge, United States","2021 IEEE International Conference on Quantum Computing and Engineering (QCE)","19 Nov 2021","2021","","","481","482","An important use-case for machine learning (ML) is that of determining readout results in quantum computers. In quantum computing (QC), classical ML models are currently being used to discriminate in-phase and quadrature (IQ) signal data to discriminate between quantum states, which is a fundamental QC operation. In our research we propose a Quantum K-Means (QK-Means) clustering technique to discriminate quantum states on the IBM Bogota quantum device, and compare its performance to the K-Means technique (its classical counterpart). We used both algorithms to perform a correlation analysis and probe cross-talk between couples of qubits on the device. We observed that QK-Means obtained test and training scores at par with the classical K-Means, and testing scores that were marginally lower than K-Means when the clusters weren’t visually separable. The training times for QK-Means were observed to be at par with an implementation of the K-Means that was not optimized. In this case, we concluded a weak correlation with a Pearson correlation coefficient of 0.2 on the (1, 2) and (2, 3) qubit couples. After analyzing the training scores, we also conclude that the 1 qubit has the worst performance at readout evidenced by the signal data not being visually separable and the low scores obtained on both clustering algorithms compared to the other qubits. Its poor performance is further verified by the calibration data showing a high readout error of 8,4%. This technique can be used to find correlations present in readout of quantum circuits and to determine cross-talk.","","978-1-6654-1691-7","10.1109/QCE52317.2021.00088","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9605339","Quantum Computing;Machine Learning;Quantum Machine Learning;K-Means;QK-Means","Training;Performance evaluation;Correlation;Qubit;Clustering algorithms;Machine learning;Quantum state","calibration;learning (artificial intelligence);pattern clustering;quality control;quantum computing","quantum states;IBM Bogota quantum device;K-Means technique;correlation analysis;probe cross-talk;QK-Means;training scores;classical K-Means;signal data;quantum circuits;Quantum machine learning;quantum computers;quantum computing;classical ML models;fundamental QC operation;Quantum K-Means clustering technique","","3","","13","IEEE","19 Nov 2021","","","IEEE","IEEE Conferences"
"Qiskit n-Bitstring Quantum Half-adder and Half-substractor","A. Giraldo-Quintero; D. Sierra-Sosa; J. G. Lalinde-Pulido","Departamento de Ciencias Matemáticas, Universidad EAFIT, Medellín, Colombia; JB Speed School of Engineering, University of Louisville, Kentucky, USA; Departamento de Informática y Sistemas, Centro de Computación Científica APOLO, Universidad EAFIT, Medellín, Colombia","2020 IEEE International Symposium on Signal Processing and Information Technology (ISSPIT)","22 Apr 2021","2020","","","1","10","Quantum Computing fast development is leading to the emergence of a wide variety of software development frameworks. In general, in these frameworks users can implement quantum algorithms and circuits, evaluating their behavior through simulations, and in some cases, executing them on Noisy Intermediate-Scale Quantum (NISQ) devices. IBM has been a pioneer in this field, providing public access to their devices through the IBM Q Experience Platform, using Python's open-source framework Qiskit. In this paper, we present the development of a n-bitstring half-adder and half-subtractor algorithm in Qiskit, analyzing the behavior on the IBM Q Experience simulator and real quantum processors.","2641-5542","978-1-6654-1589-7","10.1109/ISSPIT51521.2020.9408852","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9408852","Quantum computing;Quantum Adder;Half Adder;Quantum Subtraction;Reversibility","Quantum algorithm;Program processors;Qubit;Noise reduction;Signal processing algorithms;Performance analysis;Noise measurement","adders;quantum computing;quantum gates","IBM;Python's open-source framework Qiskit;n-bitstring half-adder;half-subtractor algorithm;real quantum processors;n-bitstring Quantum half-adder;half-substractor;software development frameworks;frameworks users;quantum algorithms;Noisy Intermediate-Scale Quantum devices;public access","","","","9","IEEE","22 Apr 2021","","","IEEE","IEEE Conferences"
"Discriminating Quantum States with Quantum Machine Learning","D. Quiroga; P. Date; R. Pooser","Engineering Faculty, Universidad de Antioquia, Medellín, Colombia; Computer Science and Mathematics, Oak Ridge National Laboratory, Oak Ridge, United States; Computational Science and Engineering, Oak Ridge National Laboratory, Oak Ridge, United States","2021 International Conference on Rebooting Computing (ICRC)","31 Mar 2022","2021","","","56","63","Quantum machine learning (QML) algorithms have obtained great relevance in the machine learning (ML) field due to the promise of quantum speedups when performing basic linear algebra subroutines (BLAS), a fundamental element in most ML algorithms. By making use of BLAS operations, we propose, implement and analyze a quantum k-means (qk-means) algorithm with a low time complexity of $\mathcal{O}(NK log(D)I/C)$ to apply it to the fundamental problem of discriminating quantum states at readout. Discriminating quantum states allows the identification of quantum states $\vert 0\rangle$ and $\vert 1\rangle$ from low-level in-phase and quadrature signal (IQ) data, and can be done using custom ML models. In order to reduce dependency on a classical computer, we use the qk-means to perform state discrimination on the IBMQ Bogota device and managed to find assignment fidelities of up to 98.7% that were only marginally lower than that of the k-means algorithm. We also performed a cross-talk benchmark on the quantum device by applying both algorithms to perform state discrimination on a combination of quantum states and using Pearson Correlation coefficients and assignment fidelities of discrimination results to conclude on the presence of cross-talk on qubits. Evidence shows cross-talk in the (1, 2) and (2, 3) neighboring qubit couples for the analyzed device.","","978-1-6654-2332-8","10.1109/ICRC53822.2021.00018","Department of Energy; ASCR Quantum Testbed Pathfinder program; Office of Science; Office of Workforce Development for Teachers and Scientists; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9743185","Quantum Computing;Machine Learning;Quantum Machine Learning;K-Means;QK-Means;Crosstalk","Training;Performance evaluation;Machine learning algorithms;Qubit;Machine learning;Quantum state;Benchmark testing","computational complexity;learning (artificial intelligence);linear algebra;quantum computing","quantum states;quantum machine learning algorithms;machine learning field;quantum speedups;quantum k-means;state discrimination;quantum device","","","","41","IEEE","31 Mar 2022","","","IEEE","IEEE Conferences"
"Intersubband Energy Differences of Delta-Doped Quantum Wells in External Electric Field","V. Tulupenko; V. Akimov; R. Demediuk; A. Tiutiunnyk; C. Duque; D. Sushchenko; O. Fomina; A. Morales; D. Laroze","Physics department, Donbas State Engineering Academy, Kramatorsk, Ukraine; Facultad de Ciencias Basicasz, Universidad de Medellin, Medellin, Colombia; Physics department, Donbas State Engineering Academy, Kramatorsk, Ukraine; Instituto de Alta Investigacion, Universidad de Tarapaca, Arica, Chile; Grupo de Materia Condensada-UdeA, Universidad de Antioquia, Medellin, Colombia; Physics department, Donbas State Engineering Academy, Kramatorsk, Ukraine; Physics department, Donbas State Engineering Academy, Kramatorsk, Ukraine; Grupo de Materia Condensada-UdeA, Universidad de Antioquia, Medellin, Colombia; Instituto de Alta Investigacion, Universidad de Tarapaca, Arica, Chile","2022 IEEE 41st International Conference on Electronics and Nanotechnology (ELNANO)","4 Nov 2022","2022","","","133","136","The energy differences between subbands of a semiconductor quantum well delta-doped inside the well can be tuned by electronic temperature. The effect can be used in a novel schematic of a tunable semiconductor optical device. Here we study numerically the dynamics of the difference between two lower size-quantized subbands against electronic temperature and external transverse electric field in 20 nm wide SiGe/Si doped with a hydrogenic donor to the edge and the center of the well.","2693-3535","978-1-6654-6922-7","10.1109/ELNANO54667.2022.9927043","FONDECYT(grant numbers:3180276); Centers of excellence with BASAL/CONICYT(grant numbers:FB0807); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9927043","SiGe quantum wells;modulation doping;shallow impurity;electric field","Temperature distribution;Impurities;Doping;Semiconductor nanostructures;Numerical models;Electric fields;Quantum cascade lasers","elemental semiconductors;gallium arsenide;Ge-Si alloys;III-V semiconductors;laser tuning;nanophotonics;semiconductor quantum wells;silicon","electronic temperature;semiconductor optical device;lower size-quantized subbands;external transverse electric field;intersubband energy differences;external electric field;delta-doped semiconductor quantum wells;size 20.0 nm;SiGe-Si","","","","8","IEEE","4 Nov 2022","","","IEEE","IEEE Conferences"
"Localization of Energy Sources and Distribution System Sizing in a Low Voltage Isolated Microgrid","P. Acevedo-Rueda; C. Camacho-Parra; G. Osma-Pinto; R. Rodríguez-Velásquez","Department of Electric, Universidad Industrial de Santander, Bucaramanga, Colombia; Department of Electric, Universidad Industrial de Santander, Bucaramanga, Colombia; Department of Electric, Universidad Industrial de Santander, Bucaramanga, Colombia; Departament of Electric, Universidad Industrial de Santander, Bucaramanga, Colombia","2019 International Conference on Smart Energy Systems and Technologies (SEST)","26 Sep 2019","2019","","","1","6","In this paper, a methodology that allows the location of sources and energy storage together with the sizing of the distribution network is presented. This methodology uses a Mixed integer nonlinear programming (MINLP), which is solved using algorithms: Quantum behaved Particle Swarm Optimization (QPSO) and genetic algorithms (GA) with Matlab, and with the solvers BARON, BONMIN, and LINDO of GAMS, in order to find the best possible solution and with the least computation time. And the proposed methodology is applied in a non-interconnected area, located in the rural area of the municipality of Cimitarra Colombia.","","978-1-7281-1156-8","10.1109/SEST.2019.8848993","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8848993","Sizing;Renewable Energies;Distributed Generation (DG);Localization;Microgrid (MG);Optimization;Mixed integer nonlinear programming (MINLP)","Microgrids;Generators;Energy storage;Conductors;Mathematical model;Optimization;Linear programming","distributed power generation;genetic algorithms;integer programming;nonlinear programming;particle swarm optimisation","QPSO;genetic algorithms;energy sources;distribution system sizing;low voltage isolated microgrid;energy storage;distribution network;MINLP;mixed integer nonlinear programming;quantum behaved particle swarm optimization","","","","15","IEEE","26 Sep 2019","","","IEEE","IEEE Conferences"
"Hydrogenic Impurity States in a Delta-Layer Within Quantum Wells in a Transversal Electric Field","V. Tulupenko; V. Akimov; R. Demediuk; A. Tiutiunnyk; C. Duque; D. Sushchenko; O. Fomina; A. Morales; D. Laroze","Physics department, Donbas State Engineering Academy, Kramatorsk, Ukraine; Facultad de Ciencias Basicas, Universidad de Medellín, Grupo de Materia Condensada-UdeA, Universidad de Antioquia, Medellín, Colombia; Physics department, Donbas State Engineering Academy, Kramatorsk, Ukraine; Instituto de Alta Investigación, CEDENNA, Universidad de Tarapacá, Arica, Chile; Grupo de Materia Condensada-UdeA, Universidad de Antioquia, Medellin, Colombia; Physics department, Donbas State Engineering Academy, Kramatorsk, Ukraine; Physics department, Donbas State Engineering Academy, Kramatorsk, Ukraine; Grupo de Materia Condensada-UdeA, Universidad de Antioquia, Medellin, Colombia; Instituto de Alta Investigación, CEDENNA, Universidad de Tarapacá, Arica, Chile","2020 IEEE 40th International Conference on Electronics and Nanotechnology (ELNANO)","7 May 2020","2020","","","109","113","The effect of a transversal electric field on the impurity binding energy and the energy differences between the space-quantized subbands of center delta-doped SiGe/Si quantum well structure is studied numerically with a self-consistent method. The result is explained in terms of the concurrent effects of impurity ionization and the applied field. The predicted phenomenon can be used to tune the energy distances and, accordingly, the working frequencies of possible optical devices.","","978-1-7281-9713-5","10.1109/ELNANO50318.2020.9088792","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9088792","SiGe quantum wells;modulation doping;shallow impurity;electric field","","binding energy;elemental semiconductors;Ge-Si alloys;impurities;impurity states;semiconductor doping;semiconductor quantum wells;silicon","self-consistent method;delta layer;quantum well structure;hydrogenic impurity states;energy distances;impurity ionization;concurrent effects;space-quantized subbands;energy differences;impurity binding energy;transversal electric field;SiGe-Si","","1","","17","IEEE","7 May 2020","","","IEEE","IEEE Conferences"
"Effect of Sparse Doping in Barriers on the Energy Structure of Center-Delta-Doped QW","V. Tulupenko; V. Akimov; R. Demediuk; C. Duque; O. Fomina; D. Sushchenko","Physics department, Donbas State Engineering Academy, Kramatorsk, Ukraine; Facultad de Ciencias Basicas, Universidad de Medellín, Medellín, Colombia; Physics department, Donbas State Engineering Academy, Kramatorsk, Ukraine; Grupo de Materia Condensada-UdeA, Universidad de Antioquia, Medellin, Colombia; Physics department, Donbas State Engineering Academy, Kramatorsk, Ukraine; Physics department, Donbas State Engineering Academy, Kramatorsk, Ukraine","2019 IEEE 39th International Conference on Electronics and Nanotechnology (ELNANO)","1 Aug 2019","2019","","","177","180","Effect of sparse (presumably background) shallow donor impurity on the energy structure of SiGe/Si quantum well structure delta-doped to the center of the well is studied numerically. The method includes calculation of impurity binding energy. The proposed nanostructure configuration can be used to create tunable optical devices in THz frequency region.","","978-1-7281-2065-2","10.1109/ELNANO.2019.8783451","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8783451","SiGe quantum wells;modulation doping;background impurity","Impurities;Ionization;Wave functions;Silicon;Optical devices;Phosphorus","binding energy;elemental semiconductors;energy gap;Ge-Si alloys;impurity states;nanostructured materials;semiconductor doping;semiconductor quantum wells;silicon","modulation doping;center-delta-doped QW;nanostructure;tunable optical devices;shallow donor impurity effects;semiconductor quantum wells structure;background impurity;impurity binding energy;energy structure;SiGe-Si","","","","15","IEEE","1 Aug 2019","","","IEEE","IEEE Conferences"
"Quantum Tunnelling Demonstration using a Low-cost Experimental Setup","C. A. González; J. P. Ruiz; R. S. Bonilla; A. G. Ávila","Department of Electrical and Electronic Engineering, Universidad de Los Andes, Bogota, Colombia; Department of Electrical and Electronic Engineering, Universidad de Los Andes, Bogota, Colombia; Department of Electrical and Electronic Engineering, Universidad de Los Andes, Bogota, Colombia; Department of Electrical and Electronic Engineering, Universidad de Los Andes, Bogota, Colombia","2013 7th Argentine School of Micro-Nanoelectronics, Technology and Applications","7 Oct 2013","2013","","","78","85","A simple and reliable experimental setup that illustrates one-dimensional quantum tunnelling effect is introduced. The main elements in this setup are the fabrication of sharp tips, and the sensing and approaching mechanism. A technique to fabricate very sharp tips is described, with tips made of 60 μm thick tungsten wire easily obtainable from car light bulbs. The technique produced tips with aspect ratios of 2 and tip diameter of 15 nm ±4.5 nm. A mechanical configuration to scale down semi-lineal displacement is suggested along with an experimental setup, including circuitry and measurement.","","978-987-1907-44-1","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6621082","Microscopy;piezoelectric transducers;physics;nanotechnology;Tunneling effect;education;piezoelectric discs;tungsten tip","Etching;Tungsten;Wires;Resonant tunneling devices;Microscopy","nanosensors;physics education;quantum theory;scanning probe microscopy;student experiments;tungsten;tunnelling","quantum tunnelling demonstration;low-cost experimental setup;one-dimensional quantum tunnelling effect;sensing mechanism;approaching mechanism;sharp tips fabrication;tungsten wire;car light bulbs;aspect ratios;tip diameter;mechanical configuration;semilineal displacement;scanning probe microscopes;size 60 mum;W","","","","41","","7 Oct 2013","","","IEEE","IEEE Conferences"
"Hardware design of an NTT-based polynomial multiplier","C. P. Rentería-Mejía; J. Velasco-Medina","Bionanoelectronics Research Group Universidad del Valle., School of Electrical and Electronics Engineering, Cali, Colombia; Bionanoelectronics Research Group Universidad del Valle., School of Electrical and Electronics Engineering, Cali, Colombia","2014 IX Southern Conference on Programmable Logic (SPL)","8 Jan 2015","2014","","","1","5","This paper presents the design of a parameterizable n-coefficient polynomial multiplier based on an n-point NTT-core, which uses a systolic array. The designed NTT-based polynomial multiplier is described in generic structural VHDL; synthesized on the Stratix EP4SGX230KF40C2 using Quartus II V. 13; verified using Modelsim; and performs the product of two polynomials of degree 4095 in 95.64 μs. The hardware synthesis and performance results show that the designed polynomial multiplier presents a good area-time trade-off and it is suitable for hardware implementations of lattice-based cryptosystems.","","978-1-4799-6848-0","10.1109/SPL.2014.7002209","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7002209","hardware architectures for cryptography;lattice-based cryptography;NTT;polynomial multiplier;post-quantum cryptography;secure computing","Polynomials;Cryptography;Algorithm design and analysis;Clocks;Hardware;Arrays;Convolution","hardware description languages;number theory;polynomials;systolic arrays","hardware design synthesis;NTT-based polynomial multiplier;parameterizable n-coefficient polynomial multiplier;n-point NTT-core;systolic array;generic structural VHDL;stratix EP4SGX230KF40C2;quartus II V.13;modelsim;area-time trade-off;lattice-based cryptosystems;number theoretical transform","","9","","9","IEEE","8 Jan 2015","","","IEEE","IEEE Conferences"
"A study of materials and additive manufacturing techniques for a novel 2D Luneburg Lens","M. AlMansoori; A. Rangel; J. Pantoja; F. Vega; A. Banelli; C. Kasmi; L. O. Fichte; M. Stiemer","Directed Energy Research Centre, Technology Innovation Institute, Abu Dhabi, United Arab Emirates; Quanta Electromagnetic Science S.A.S, Bogota, Colombia; Directed Energy Research Centre, Technology Innovation Institute, Abu Dhabi, United Arab Emirates; Directed Energy Research Centre, Technology Innovation Institute, Abu Dhabi, United Arab Emirates; Directed Energy Research Centre, Technology Innovation Institute, Abu Dhabi, United Arab Emirates; Directed Energy Research Centre, Technology Innovation Institute, Abu Dhabi, United Arab Emirates; Faculty of Electrical Engineering, Helmut Schmidt University, Hamburg, Germany; Faculty of Electrical Engineering, Helmut Schmidt University, Hamburg, Germany","2022 IEEE International Symposium on Antennas and Propagation and USNC-URSI Radio Science Meeting (AP-S/URSI)","21 Sep 2022","2022","","","1594","1595","In this paper, characterization and manufacturing of a non-homogenous stackable 2D Luneburg lens, using additive manufacturing techniques is presented. The paper discusses the material characterization process, followed by the design, construction, and finally the prototype construction. It was found that ABS printed using SLA technology, produces the most promising results for the desired application.","1947-1491","978-1-6654-9658-2","10.1109/AP-S/USNC-URSI47032.2022.9886801","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9886801","","Conferences;Prototypes;Three-dimensional printing;Manufacturing;Lenses","broadband antennas;lens antennas;lenses;microstrip lines;printed circuits;rapid prototyping (industrial);refractive index","additive manufacturing techniques;material characterization process;novel 2D Luneburg lens;nonhomogenous stackable 2D Luneburg lens","","1","","6","IEEE","21 Sep 2022","","","IEEE","IEEE Conferences"
