"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Intercept-Resend Attack on Quantum Key Distribution Protocols with Two, Three and Four-State Systems: Comparative Analysis","G. Mogos","Prometeo researcher, Politecnica de Chimborazo, Riobamba, Ecuador Riobamba, Ecuador","2015 2nd International Conference on Information Science and Security (ICISS)","7 Jan 2016","2015","","","1","4","The existing studies proved the importance of quantum key distribution protocols,unfortunately, most of them have been known only as theoretical models. Starting from the mathematical models, this study explores quantum alternatives to traditional key distribution protocols and involves software implementations of the quantum key distribution protocols with two, three and four-state systems. The paper presents the results obtained on case of the cybernetic attack simulation, type Intercept-Resend - the well known attack on quantum world, over the each protocol. Presence of the eavesdropper is determined by calculating the errors obtained at the end of transmission through quantum channel. The method Quantum Error Rate for detecting the eavesdropper can be applied to the majority key distribution systems, each system having its own acceptable error rate. Starting from the same size of input data, the paper presents an analysis of the data obtained on cybernetic attack simulations and analyzes the percentage of errors by comparison with the dimensions of the cryptographic keys obtained in the case of each protocol.","","978-1-4673-8611-1","10.1109/ICISSEC.2015.7371010","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7371010","","Protocols;Receivers;Error analysis;Software;Encryption;Quantum cryptography","cryptographic protocols;quantum cryptography;software engineering","intercept-resend attack;quantum key distribution protocols;mathematical models;software implementations;cybernetic attack simulation;cryptographic keys","","1","","14","IEEE","7 Jan 2016","","","IEEE","IEEE Conferences"
"A Quantum Key distribution using Optical Frequency Comb Source","J. Azocar; I. Soto; F. Corral","Department of Electrical Engineering, Centre for Multidisciplinary Research in Telecommunication Technologies (CIMTT) Faculty of Engineering, University of Santiago of Chile; Department of Electrical Engineering, Centre for Multidisciplinary Research in Telecommunication Technologies (CIMTT) Faculty of Engineering, University of Santiago of Chile; Exact Sciences Department, University of the Armed Forces ESPE, Sangolqui, Ecuador","2021 Third South American Colloquium on Visible Light Communications (SACVLC)","29 Dec 2021","2021","","","01","06","The use of quantum cryptography aims to perform a secure key exchange, so that agents outside the system are not able to obtain information flowing through the channel. This work proposes the use of a Quantum Key Distribution (QKD) technique, specifically the BB84 protocol, with the objective of randomly generating a key for the encryption of information and distribute it securely afterwards. As a result, the same key is successfully generated at each end of the communication channel, and is never transmitted over it, for which it proposes the use of an Optical Frequency Comb Source (OFCS), seeking to increase the capacity of the optical medium to support more transmitter-receiver pairs (Client-Server)","","978-1-6654-4225-1","10.1109/SACVLC53127.2021.9652309","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9652309","QKD;DWDM;OFCS and Security","South America;Protocols;Optical harmonic generation;Transceivers;Software;Encryption;Quantum key distribution","cryptographic protocols;optical frequency combs;private key cryptography;quantum cryptography;telecommunication channels","communication channel;optical frequency comb source;quantum cryptography;secure key exchange;BB84 protocol;quantum key distribution technique;QKD technique;OFCS","","1","","17","IEEE","29 Dec 2021","","","IEEE","IEEE Conferences"
"A Novel Approach to Grover's Quantum Algorithm Simulation: Cloud-Based Parallel Computing Enhancements","A. M. Gejea; S. Mayakannan; R. M. Palacios; A. A. Hamad; B. Sundaram; W. Alghamdi","Department of Computer Science, Bule Hora University, Ethiopia; Department of Mechanical Engineering, Vidyaa Vikas College of Engineering and Technology, Namakkal, Tamilnadu, India; Department of Marketing Engineering, Escuela Superior Politécnica de Chimborazo (ESPOCH), Riobamba, Ecuador; Department of Medical Laboratory Techniques, Dijlah University College, Baghdad, Iraq; Department of Computer Science, Bule Hora University, Ethiopia; Department of Information Technology, Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah, Saudi Arabia","2023 4th International Conference on Smart Electronics and Communication (ICOSEC)","16 Oct 2023","2023","","","1740","1745","A truly universal quantum computer is still on the small scale at the present. There has been no transition from the laboratory use of quantum computers to more widespread use of the technology. As a result, quantum simulation has emerged as the accepted norm for supporting the validation of quantum algorithms. Many conventional algorithms benefit from grover's quantum search method because it accelerates their usage of search heuristics. For better multi-core load balancing, memory utilization, and simulation efficiency, this research presented a high-performance grover method simulation that combines the benefits of grover's technique with the parallel of cloud computing. This study also suggests and experimentally compares five distinct cloud-based computing architectures that are well-suited to quantum simulation. Through research and testing, this study also verifies the optimization's efficiency. Depending on the size of the current configuration, the experimental results reveal that the simulation can reach 31 bits.","","979-8-3503-0088-8","10.1109/ICOSEC58147.2023.10276383","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10276383","Grover's algorithm;Quantum computation;Parallelization;Quantum simulation;Cloud computing;High performance computing (HPC)","Cloud computing;Quantum algorithm;Search methods;Heuristic algorithms;Memory management;Parallel processing;Load management","cloud computing;computer simulation;parallel processing;quantum computing;resource allocation;search problems","cloud computing;cloud-based parallel computing enhancements;grover quantum algorithm simulation;high-performance grover method simulation;memory utilization;multicore load balancing;quantum computers;quantum simulation;search heuristics;simulation efficiency;universal quantum computer","","","","23","IEEE","16 Oct 2023","","","IEEE","IEEE Conferences"
"Cubic Quantum Security","G. Mogos","Faculty of Computer Science and Electronic Engineering, Polytechnic University of Chimborazo, Riobamba, Ecuador","2014 International Conference on Computational Science and Computational Intelligence","29 May 2014","2014","2","","249","252","Quantum cryptography provides us new methods of securing the communications. As compared to classical cryptography, which implies different mathematical algorithms to secure the information, quantum cryptography focuses on the physical support of the information. The process of information transmission or stocking is realized by the intermediation of a physical support, for example the photons transmitted by optical fiber or the electrons from the electricity. Communication security can be regarded as securing the physical support of the carrier of the information - in our case the photons from the optical fiber. Consequently, how and what an attacker can find out depends exclusively on the laws of physics. The paper presents a symmetrical encryption method based on the method of mixture used by the rubik's cube.","","978-1-4799-3010-4","10.1109/CSCI.2014.130","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6822341","symmetric cryptography;quantum cryptography;qubits","Encryption;Quantum computing;Physics;Protocols;Photonics","quantum cryptography;telecommunication security","cubic quantum security;quantum cryptography;classical cryptography;mathematical algorithm;information transmission;information stocking;physical support;optical fiber;electricity;communication security;symmetrical encryption method;rubiks cube","","","","13","IEEE","29 May 2014","","","IEEE","IEEE Conferences"
"Software implementation of Bechmann-Pasquinucci and Peres protocol for qutrits","G. Mogos","Facultad de Informatica y Electronica, ESPOCH, Riobamba, Ecuador","2015 International Symposium on Networks, Computers and Communications (ISNCC)","7 Sep 2015","2015","","","1","5","The main goals of cryptography are for a sender and a receiver to be able to communicate in a way that is unintelligible to third parties, and for the authentication of messages to prove that they were not altered in transit. Both of these goals can be accomplished with provable security if sender and receiver are in possession of shared, the secret key. This paper presents a software-prototype of the Bechmann-Pasquinucci and Peres protocol for qutrits, on two cases: with and without cyber-attack (the Intercept-Resend attack). Presence of the enemy is determined by calculating the errors obtained at the end of transmission through quantum channel. The method Quantum Trit Error Rate (QTER) for detecting enemy can be applied to the majority key distribution systems, each system having its own acceptable error rate.","","978-1-4673-7468-2","10.1109/ISNCC.2015.7238589","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7238589","quantum computing;quantum cryptography;qutrits","Receivers;Protocols;Error analysis","cryptographic protocols;error statistics;message authentication;private key cryptography;quantum cryptography","Bechmann-Pasquinucci protocol;Peres protocol;qutrits;cryptography;message authentication;secret key;software-prototype;cyber-attack;intercept-resend attack;quantum channel;quantum trit error rate;QTR;majority key distribution systems","","","","8","IEEE","7 Sep 2015","","","IEEE","IEEE Conferences"
"Quantum random number generator vs. random number generator","G. Mogos","Prometeo researcher, Escuela Superior Politecnica de Chimborazo - ESPOCH, Riobamba, Ecuador","2016 International Conference on Communications (COMM)","4 Aug 2016","2016","","","423","426","A random number generator produces a periodic sequence of numbers on a computer. The starting point can be random, but after it is chosen, everything else is deterministic. A random number generator produces a periodic sequence of numbers on a computer. The starting point can be random, but after it is chosen, everything else is deterministic. This paper presents the entropy and p-value tests performed on classical and quantum random number generators, in order to check the randomness of the generated output data. Both generators have been integrated in software applications reproducing asymmetrical cryptosystems, their results contributing to the generation of key material within Diffie-Hellman protocol. Can regard these tests as a first step in determining if a generator is suitable for a particular cryptographic application. At the same time, the statistical tests cannot serve as a substitute for cryptanalysis.","","978-1-4673-8197-0","10.1109/ICComm.2016.7528306","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7528306","random number generator;quantum random number generator;entropy;p-value","Cryptography;Entropy;Random access memory","quantum computing;random number generation","periodic sequence;entropy;p-value tests;quantum random number generators;generated output data;software applications;asymmetrical cryptosystems;key material;Diffie-Hellman protocol;cryptographic application;statistical tests;cryptanalysis","","4","","8","IEEE","4 Aug 2016","","","IEEE","IEEE Conferences"
"Current-to-Frequency Converter Based Photometer Circuit","W. Hernandez; A. Mendez; V. Gonz&#x00E1;lez-Posadas; J. L. Jim&#x00E9;nez-Mart&#x00ED;n; F. J. Arqu&#x00E9;s-Orob&#x00F3;n","Facultad de Ingenier&#x00ED;a y Ciencias Aplicadas, Universidad de Las Am&#x00E9;ricas, Quito, Ecuador; Departamento de Matem&#x00E1;tica Aplicada a las Tecnolog&#x00ED;as de la Informaci&#x00F3;n y Comunicaciones, ETSIS de Telecomunicaci&#x00F3;n, Universidad Polit&#x00E9;cnica de Madrid, Madrid, Spain; Departamento de Ingenier&#x00ED;a Audivisual Comunicaciones, ETSIS de Telecomunicaci&#x00F3;n, Universidad Polit&#x00E9;cnica de Madrid, Madrid, Spain; Facultad de Ingenier&#x00ED;a y Ciencias Aplicadas, Universidad de Las Am&#x00E9;ricas, Quito, Ecuador; Facultad de Ingenier&#x00ED;a y Ciencias Aplicadas, Universidad de Las Am&#x00E9;ricas, Quito, Ecuador","IEEE Transactions on Instrumentation and Measurement","24 Feb 2022","2022","71","","1","11","In this article, the design of a photometer circuit based on a current-to-frequency converter is presented. This circuit is a piecewise linear circuit that makes the most of feedback to ensure a linear relationship between the input photocurrent and the output frequency. Here, Proteus simulations were used to verify the performance of the proposed circuit, and the electronic simulations and the experimental results were shown to be in total agreement. The experimental results showed that the proposed circuit rejected better additive white Gaussian noise signals than the classic photometer circuit based on the transimpedance amplifier. In addition, despite that the proposed circuit is more complex than the classic one, its high linearity, noise rejection, and easy implementation make it suitable for applications where measurement precision and noise rejection are of paramount importance.","1557-9662","","10.1109/TIM.2022.3144746","Corporación Ecuatoriana para el Desarrollo de la Investigación y la Academia (CEDIA), Ecuador(grant numbers:CEPRA XII-2018-13); Universidad de Las Américas (UDLA), Quito, Ecuador(grant numbers:IEA.WHP.21.02); Universidad Politécnica de Madrid (UPM), Spain; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9686741","Current-to-frequency converter (CFC);current-to-voltage converter (CVC);photometer circuit;relative proximity coefficient;transimpedance amplifier","Photodiodes;Photovoltaic systems;Integrated circuit modeling;Transfer functions;Resistors;Resistance;Photoconductivity","AWGN;AWGN channels;circuit noise;feedback;feedback amplifiers;flicker noise;frequency convertors;Gaussian noise;integrated optoelectronics;medical signal detection;operational amplifiers;photodiodes;photometers;piecewise linear techniques;programmable circuits","noise rejection;current-to-frequency converter;piecewise linear circuit;linear relationship;output frequency;Proteus simulations;electronic simulations;additive white Gaussian noise signals;classic photometer circuit","","","","42","CCBY","19 Jan 2022","","","IEEE","IEEE Journals"
"Use quantum random number generator in Diffie-Hellman key exchange protocol","G. Mogos","Prometeo researcher, Facultad de Informatica y Electronica, Escuela Superior Politecnica de Chimborazo - ESPOCH, Riobamba, Ecuador","2016 IEEE International Conference on Automation, Quality and Testing, Robotics (AQTR)","30 Jun 2016","2016","","","1","6","The development of information society, which led to an impressive increase of the volume of information, mostly economic, which was circulated in computer networks, accelerated the development and especially the use of modern cryptography tools. The role of modern cryptography is to assure by specific mathematical means, both theoretically and practically, the four basic characteristics of information: confidentiality, integrity, authenticity, and nonrepudiation. This paper presents a series of results obtained within an ample project, whose purpose is to integrate devices based on quantum properties, in order to gradually replace the current classical equipment which becomes vulnerable, and also to develop software applications. The results were obtained as a result of performance and testing of an experimental model which implements an architecture of client-server type, and which integrates a quantum random number generator in the mechanism of obtaining the cryptographic key.","","978-1-4673-8692-0","10.1109/AQTR.2016.7501290","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7501290","cryptography;Diffie-Hellman key exchange;quantum random number generator","Decision support systems;Cryptography;Generators;Entropy;Economics;Computer networks;Acceleration","client-server systems;cryptographic protocols;data integrity;quantum cryptography;random number generation","quantum random number generator;Diffie-Hellman key exchange protocol;modern cryptography tools;information confidentiality;information integrity;information authenticity;information nonrepudiation;client-server type architecture;cryptographic key","","2","","9","IEEE","30 Jun 2016","","","IEEE","IEEE Conferences"
"Optimal Wireless Sensor Networks Allocation for Wooded Areas Using Quantum-Behaved Swarm Optimization Algorithms","W. Velasquez; F. Jijon-Veliz; M. S. Alvarez-Alvarado","Faculty of Electrical and Computer Engineering, Escuela Superior Politécnica del Litoral, (ESPOL), Guayaquil, Ecuador; Faculty of Electrical and Computer Engineering, Escuela Superior Politécnica del Litoral, (ESPOL), Guayaquil, Ecuador; Faculty of Electrical and Computer Engineering, Escuela Superior Politécnica del Litoral, (ESPOL), Guayaquil, Ecuador","IEEE Access","15 Feb 2023","2023","11","","14375","14384","This paper aims to present a robust algorithm developed that aims to minimize the number of sensor nodes in a WSN using three quantum-behaved swarm optimization techniques based on Lorentz (QPSO-LR), Rosen–Morse (QPSO-RM), and Coulomb-like Square Root (QPSO-CS) potential fields. The algorithm aims to allocate the minimum number of wireless sensors in forested areas without losing connectivity in an environment with a high penetration of vegetation. The proposed approach incorporates a propagation model that locates the sensor nodes, calculates the approximate separation distance between each one, verifies Line of Sight (LOS) compliance, and avoids considerable intrusions in the first Fresnel zone. The results validate the robustness of the quantum-behaved swarm optimization algorithms in comparison to traditional particle swarm optimization (PSO).","2169-3536","","10.1109/ACCESS.2023.3243541","Escuela Superior Politécnica del Litoral(grant numbers:FIEC-51-2020); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10041811","Network design;particle swarm optimization;quantum-behaved algorithms;wireless sensor network","Wireless sensor networks;Particle swarm optimization;Optimization;Wireless sensor networks;Wireless communication;Metaheuristics;Mathematical models","electromagnetic wave propagation;particle swarm optimisation;wireless sensor networks","Fresnel zone;line of sight;particle swarm optimization;PSO;QPSO-CS;QPSO-LR;quantum-behaved swarm optimization algorithms;quantum-behaved swarm optimization techniques based on Coulomb-like square root;quantum-behaved swarm optimization techniques based on Rosen-Morse;quantum-behaved swarm optimization techniques based on Lorentz;wireless sensor networks allocation","","2","","37","CCBY","9 Feb 2023","","","IEEE","IEEE Journals"
"Absorber Length Optimization of On-Chip Colliding Pulse Mode-Locked Semiconductor Laser","C. Gordón; M. Cumbajín; G. Carpintero; E. Bente; J. Javaloyes","Facultad de Ingeniería en Sistemas, Electrónica e Industrial, Universidad Técnica de Ambato, Ambato, Ecuador; Facultad de Ingeniería Industrial, Universidad Tecnológica Indoamérica, Ambato, Ecuador; Department of Electronics Technology, Universidad Carlos III de Madrid, Madrid, Spain; Department of Electrical Engineering, Eindhoven University of Technology, Eindhoven, The Netherlands; Departamento de Física, Universitat de les Illes Balears, Palma de Mallorca, Spain","IEEE Journal of Selected Topics in Quantum Electronics","24 Oct 2017","2018","24","1","1","8","We present theoretical and experimental results regarding the saturable absorber length optimization for the generation of stable mode-locked regimes of a novel on-chip colliding pulse mode-locked semiconductor laser structure. We have been able to apply the design criteria acquired from previous theoretical and experimental reports to define a suitable gain section length for a given saturable absorber section length. The latter is independent from the cavity length and allows obtaining stable mode-locked regimes with the required repetition rate and pulse width in the range of picoseconds for different applications. We have developed four on-chip colliding pulse mode-locked laser structures with saturable absorber lengths ranging from 20 to 50 μm in steps of 10 μm with fundamental repetition rate at 25 GHz and twice this frequency at 50 GHz when operated in the colliding pulse mode-locked regime. The theoretical study was carried out by using the simulation tool called FreeTWM which is a free travelling wave model software designed for the study of the dynamics of multisection semiconductor lasers, while the experimental analysis was executed on the samples fabricated on a generic InP photonic integrated technology through a multi-project wafer run.","1558-4542","","10.1109/JSTQE.2017.2759263","Spanish Ministerio de Economia y Competitividad DiDACTIC(grant numbers:TEC2013-47753-C3-3-R); Consejería de Educación; Juventud y Deporte of Comunidad de Madrid DIFRAGEOS(grant numbers:P2013/ICE-3004); COMBINA(grant numbers:TEC2015-65212-C3-3-P AEI/FEDER UE); Ramón y Cajal fellowship; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8063953","Laser mode locking;optical pulse generation;semiconductor lasers;quantum well lasers;semiconductor device modeling","Laser mode locking;Cavity resonators;Semiconductor lasers;Laser theory;System-on-chip;Laser stability;Optical resonators","III-V semiconductors;indium compounds;integrated optoelectronics;laser cavity resonators;laser mode locking;optical saturable absorption;quantum well lasers","pulse width;multisection semiconductor lasers;saturable absorber length optimization;cavity length;saturable absorber section length;repetition rate;on-chip colliding pulse mode-locked semiconductor laser structures;gain section length;stable mode-locked regimes;FreeTWM simulation tool;free travelling wave model software;InP photonic integrated technology;frequency 25.0 GHz;frequency 50.0 GHz;size 20.0 mum to 50.0 mum;InP","","2","","41","IEEE","10 Oct 2017","","","IEEE","IEEE Journals"
