"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Quantum Computing for Undergraduate Engineering Students: Report of an Experience","L. Gatti; R. Sotelo","Universidad de Montevideo, Montevideo, Uruguay; Universidad de Montevideo, Montevideo, Uruguay","2021 IEEE International Conference on Quantum Computing and Engineering (QCE)","19 Nov 2021","2021","","","397","401","This paper presents the experience of a Quantum Computer course addressed for the first time for undergraduate engineering students. Students’ levels varied from year two to five of their careers and had previous knowledge on Calculus, Linear Algebra and Programming, but not on Quantum Mechanics or on Modern Physics. The main objective of the course was that students acquire programming skills in Quantum Computing, so it had a practical approach. Instead of beginning by introducing the physical phenomenology under the field, the course started directly with presenting the logic of quantum computing from an abstract point of view. The language used was Q#. The curricula was based on the one available for the Microsoft Quantum Network.","","978-1-6654-1691-7","10.1109/QCE52317.2021.00060","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9605347","Quantum Computing;Education;Quantum Workforce;Undergraduate Engineering Education","Three-dimensional displays;Engineering profession;Quantum mechanics;Virtual environments;Linear algebra;Calculus;Quantum networks","computer science education;educational courses;engineering education;quantum computing;specification languages;teaching","quantum computing;undergraduate engineering students;quantum mechanics;Microsoft Quantum Network;quantum computer course;Q# language","","2","","17","IEEE","19 Nov 2021","","","IEEE","IEEE Conferences"
"Quantum circuit design using neural networks assisted by entanglement","C. Allende; E. Buksman; A. F. De Oliveira","Faculty of Engineering, Universidad ORT, Montevideo, Uruguay; Faculty of Engineering, Universidad ORT, Montevideo, Uruguay; Faculty of Engineering, Universidad ORT, Montevideo, Uruguay","2021 IEEE URUCON","27 Dec 2021","2021","","","316","319","This work introduces a novel structure based on universal quantum circuits which uses classical machine learning techniques in order to solve a quantum problem: the decomposition of a generic quantum operator into a sequence of elementary unitary matrices (universal basic quantum gates). Even though the postulates of quantum mechanics guarantee any unitary operation as a feasible operation over a quantum system, there is no simple method to implement an arbitrary algorithm. By means of a multilayer hybrid neural network in which the basic cell is made up of CNOTs and universal one-qubit unitary gates, this work offers a solution to the given problem. These specific gates were chosen since they are the gates available in real quantum computers such as IBMQ's quantum processors. The network learns the unitary gates classically using the method of the steepest descent and is aided in learning the entangling gates by the use of two types of quantum correlations: Mutual Information (MI) and Cumulative Correlation Measure (CCM). The algorithm implemented in this case is a type of supervised learning. The results show that the model fits the data gracefully and correctly predicts a wide range of algorithms.","","978-1-6654-2443-1","10.1109/URUCON53396.2021.9647233","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9647233","","Training;Knowledge engineering;Quantum system;Correlation;Neural networks;Supervised learning;Machine learning","learning (artificial intelligence);matrix algebra;quantum computing;quantum entanglement;quantum gates;quantum theory","quantum circuit design;neural networks;universal quantum circuits;classical machine;quantum problem;generic quantum operator;elementary unitary matrices;universal basic quantum gates;quantum mechanics;unitary operation;feasible operation;quantum system;arbitrary algorithm;multilayer hybrid neural network;basic cell;one-qubit unitary gates;specific gates;quantum computers;IBMQ's quantum processors;entangling gates;quantum correlations;supervised learning","","","","14","IEEE","27 Dec 2021","","","IEEE","IEEE Conferences"
"Preparing for the Quantum Future: Perspectives of an Entrepreneurial Innovator","R. Sotelo; T. L. Frantz","Universidad de Montevideo, Montevideo, Uruguay; Harrisburg University of Science and Technology, Harrisburg, PA, USA","IEEE Engineering Management Review","10 Oct 2022","2022","50","3","13","16","Commercial use of quantum computing technology is in our future, and the CEO of one quantum technology company is positioning his company to deliver a first-mover advantage for enterprises. However, the focus is on satisfying customers today, so he is—without pause—preparing customers to leverage the most advanced quantum technology today and into the future. Christopher Savoie, a serial entrepreneur and a founder of Zapata Computing, recently discussed his views on innovation processes, forming companies around emergent technologies, and how he is building a business within the nascent quantum computing industry.","1937-4178","","10.1109/EMR.2022.3196882","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9851512","Business innovation;innovation;nascent industries;quantum computing;quantum technology","Quantum computing;Companies;Business;Venture capital;Patents;Technological innovation;Software","commerce;innovation management;quantum computing","quantum future;entrepreneurial innovator;quantum computing technology;quantum technology company;first-mover advantage;satisfying customers today;preparing customers;advanced quantum technology today;Christopher Savoie;serial entrepreneur;Zapata Computing;innovation processes;emergent technologies;nascent quantum computing industry","","","","8","IEEE","5 Aug 2022","","","IEEE","IEEE Journals"
"Quantum Computing Entrepreneurship and IEEE TEMS","R. Sotelo","Universidad de Montevideo, Montevideo, Uruguay","IEEE Engineering Management Review","14 Oct 2021","2021","49","3","26","29","Quantum computing is experiencing an inflection point. This technology is likely to facilitate great advances in many fields including logistics, chemistry simulation, or even risk analysis. It is attractive for large hardware and software companies in addition to start-up entrepreneurial enterprises. In this article, we summarize interesting insights into this field related to possibilities related to quantum computing and entrepreneurship.","1937-4178","","10.1109/EMR.2021.3098260","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9492020","Diffusion of ITT innovations;entrepreneurship;information and telecommunication technologies;quantum computing (QC)","Quantum computing;Entrepreneurship;Qubit;Computers;Logic gates;Conferences;Companies","innovation management;quantum computing;risk analysis","quantum computing entrepreneurship;IEEE TEMS;inflection point;chemistry simulation;software companies;start-up entrepreneurial enterprises","","2","","14","IEEE","20 Jul 2021","","","IEEE","IEEE Journals"
"Managing a Quantum Computing Team—Insights and Challenges at Itaú Unibanco","R. Sotelo; T. L. Frantz; S. Brito; V. F. da Silva; A. J. Ferreira Martins; I. Bernardes-Urias","Universidad de Montevideo, Montevideo, Uruguay; Harrisburg University of Science and Technology, Harrisburg, PA, USA; Banco Itaú Unibanco, Sao Paulo, Sao Paulo, Brazil; Banco Itaú Unibanco, Sao Paulo, Sao Paulo, Brazil; Banco Itaú Unibanco, Sao Paulo, Sao Paulo, Brazil; Banco Itaú Unibanco, Sao Paulo, Sao Paulo, Brazil","IEEE Engineering Management Review","5 Apr 2022","2022","50","1","24","27","Quantum computing technology is developing rapidly. Technology managers are now faced with pressure to bring the emerging technology in-house, albeit perhaps stealthy. This article presents the story of a large Brazilian financial services firm that is facing the quantum “opportunity” head-on. We provide insights into the challenge of introducing nonproven technology to this one particular organization. In addition to team-level management, other aspects in the realm of organization-level issues are presented including expectation setting, reporting, and budgeting.","1937-4178","","10.1109/EMR.2022.3145302","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9691828","Diffusion of ITT innovations;entrepreneurship;information and telecommunication technologies;quantum computing","Quantum computing;Financial services;Monitoring;Companies;Collaboration;Banking;Training","competitive intelligence;human resource management;innovation management;organisational aspects;personnel;quantum computing;strategic planning;team working;technology management","team-level management;organization-level issues;quantum computing team-insights;itaú unibanco;quantum computing technology;technology managers;emerging technology in-house;Brazilian financial services firm;quantum opportunity;nonproven technology;particular organization","","","","8","IEEE","25 Jan 2022","","","IEEE","IEEE Journals"
"Supplierthon Methodology: The 2021 BMW Quantum Computing Challenge","R. Sotelo; T. L. Frantz","Universidad de Montevideo, Montevideo, Uruguay; Harrisburg University of Science and Technology, Harrisburg, PA, USA","IEEE Engineering Management Review","20 Jul 2023","2023","51","2","9","11","The “Supplierthon” methodology is BMW Group's supplier scouting method that can be especially effective for identifying partners in R&D projects. This article describes the supplierthon methodology developed at BMW and reports on how it was applied as the company sought to identify new partners for its entry into quantum computing. In total, three members of BMW's quantum computing and business development team are interviewed to learn how the process works, how it was applied to the case of quantum computing, and what the outcomes were—both expected and unexpected.","1937-4178","","10.1109/EMR.2023.3263140","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10105443","Innovation;quantum computing (QC) business;Supplierthon","Quantum computing;Companies;Technological innovation;Optimization;Lead;Industries;Web services","quantum computing","BMW Group supplier scouting method;BMW quantum computing;BMW quantum computing challenge;supplierthon methodology;SupplierthonMethodology","","","","7","IEEE","19 Apr 2023","","","IEEE","IEEE Journals"
"Applications of quantum computing to optimization","R. Sotelo","Facultad de Ingeniería, Universidad de Montevideo, Montevideo, Uruguay","2021 IEEE CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)","11 Feb 2022","2021","","","1","5","The paper presents the basic aspects of the logic behind Quantum Computing and shows its fields of application and the state of the industry, focusing on the special case of the work at Universidad de Montevideo and the startup Quantum-South, born within it: optimization applications for air cargo transport and investment portfolio optimization applications. The paper content has been presented in a plenary session at IEEE CHILECON 2021. It has been intended to motivate professionals and students to work on Quantum Computing in the field of optimization.","","978-1-6654-0873-8","10.1109/CHILECON54041.2021.9703081","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9703081","Quantum computing;Optimization;Cargo","Industries;Quantum computing;Conferences;Focusing;Companies;Information and communication technology;Optimization","investment;optimisation;quantum computing;transportation","air cargo transport;IEEE CHILECON 2021;investment portfolio optimization applications;quantum computing;startup Quantum-South;Universidad de Montevideo","","","","23","IEEE","11 Feb 2022","","","IEEE","IEEE Conferences"
"Application of quantum optimization techniques (QUBO method) to cargo logistics on ships and airplanes","F. Hernández; K. Díaz; M. Forets; R. Sotelo","Universidad de Montevideo, Uruguay; Universidad de Montevideo, Uruguay; Universidad de Montevideo, Uruguay; Universidad de Montevideo, Uruguay","2020 IEEE Congreso Bienal de Argentina (ARGENCON)","13 Aug 2021","2020","","","1","1","The video (https://youtu.be/qB07ueMVw0w) presents our ongoing work on the optimization of cargo logistics processes with containers using quantum computing, mainly in airplanes and barges, of great international relevance. Combinatorial optimization problems are computationally complex in conventional computing. The origins of Quantum Computing date back to the early 90's. This discipline allows solving problems that in conventional computing are complex [1]. We present a Quantum Computing tool, the QUBO method (Quadratic Unconstrained Binary Optimization) [2], which is suitable for formulating combinatorial optimization problems. QUBO is a recently developed tool, based on Quantum Annealing and is implemented in some current quantum computers. It consists of minimizing outputs of the type xTQx with x being a binary decision vector and Q a square or triangular matrix with constant parameters provided by the model. Restrictions can be added to the treated system. These problems have to do with making good decisions in environments where a large number of binary decisions (Yes/No) must be made and each set of decisions produces a corresponding objective function value, such as a cost or benefit value. In the video we also present the example of the Number Partitioning Problem.","","978-1-7281-5957-7","10.1109/ARGENCON49523.2020.9505401","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9505401","","Computers;Airplanes;Quantum computing;Computational modeling;Boats;Tools;Containers","aircraft;boats;combinatorial mathematics;computational complexity;freight handling;logistics;optimisation;quadratic programming;quantum computing","combinatorial optimization problems;quantum annealing;quantum computers;binary decision vector;number partitioning problem;quantum optimization techniques;ships;airplanes;cargo logistics;barges;quantum computing;Quadratic Unconstrained Binary Optimization method;QUBO method","","1","","2","IEEE","13 Aug 2021","","","IEEE","IEEE Conferences"
"Quantum Computing: What, Why, Who","R. Sotelo","Facultad de Ingeniería, Universidad de Montevideo, Montevideo, Uruguay","2019 IEEE CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)","10 Feb 2020","2019","","","1","6","This paper provides an introductory reading about Quantum Computing (QC). It describes what is called QC, how does it work and the benefits it provides, naming some famous algorithms. It includes a review on the fields of application that QC is expected to fulfil, and the status of the QC ecosystem. The paper content has been presented in a plenary session at IEEE Chilecon 2019. It has been intended to motivate professionals and students to work on QC.","","978-1-7281-3185-6","10.1109/CHILECON47746.2019.8988080","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8988080","Quantum Computing","Quantum computing;Conferences;Ecosystems;Companies;Information and communication technology","quantum computing","quantum computing;QC ecosystem","","6","","7","IEEE","10 Feb 2020","","","IEEE","IEEE Conferences"
"Realizability in the Unitary Sphere","A. Díaz-Caro; M. Guillermo; A. Miquel; B. Valiron","Instituto de Ciencias de la Computación (UBA-CONICET), Buenos Aires, Argentina; Facultad de Ingeniería, Universidad de la República, Montevideo, Uruguay; Facultad de Ingeniería, Universidad de la República, Montevideo, Uruguay; LRI, Université Paris-Saclay, Orsay, France","2019 34th Annual ACM/IEEE Symposium on Logic in Computer Science (LICS)","5 Aug 2019","2019","","","1","13","In this paper we present a semantics for a linear algebraic lambda-calculus based on realizability. This semantics characterizes a notion of unitarity in the system, answering a long standing issue. We derive from the semantics a set of typing rules for a simply-typed linear algebraic lambda-calculus, and show how it extends both to classical and quantum lambda-calculi.","","978-1-7281-3608-0","10.1109/LICS.2019.8785834","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8785834","","Calculus;Semantics;Integrated circuit modeling;Quantum computing;Quantum mechanics;Computational modeling;Mathematical model","lambda calculus;linear algebra","realizability;typing rules;simply-typed linear algebraic lambda-calculus;classical lambda-calculi;quantum lambda-calculi;unitary","","5","","29","IEEE","5 Aug 2019","","","IEEE","IEEE Conferences"
