"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Telecommunication Compatibility Evaluation for Co-existing Quantum Key Distribution in Homogenous Multicore Fiber","R. Lin; A. Udalcovs; O. Ozolins; X. Pang; L. Gan; M. Tang; S. Fu; S. Popov; T. F. D. Silva; G. B. Xavier; J. Chen","Department of Electrical Engineering, Chalmers University of Technology, Gothenburg, Sweden; RISE Research Institutes of Sweden AB, Kista, Sweden; RISE Research Institutes of Sweden AB, Kista, Sweden; KTH Royal Institute of Technology, Kista, Sweden; School of Optical and Electronic Information, Huazhong University of Science and Technology, Wuhan, China; School of Optical and Electronic Information, Huazhong University of Science and Technology, Wuhan, China; School of Optical and Electronic Information, Huazhong University of Science and Technology, Wuhan, China; KTH Royal Institute of Technology, Kista, Sweden; Optical Metrology Division, National Institute of Metrology, Quality and Technology, Duque de Caxias, Brazil; Institutionen för Systemteknik, Linköpings Universitet, Linköping, Sweden; Department of Electrical Engineering, Chalmers University of Technology, Gothenburg, Sweden","IEEE Access","6 May 2020","2020","8","","78836","78846","Quantum key distribution (QKD) is regarded as an alternative to traditional cryptography methods for securing data communication by quantum mechanics rather than computational complexity. Towards the massive deployment of QKD, embedding it with the telecommunication system is crucially important. Homogenous optical multi-core fibers (MCFs) compatible with spatial division multiplexing (SDM) are essential components for the next-generation optical communication infrastructure, which provides a big potential for co-existence of optical telecommunication systems and QKD. However, the QKD channel is extremely vulnerable due to the fact that the quantum states can be annihilated by noise during signal propagation. Thus, investigation of telecom compatibility for QKD co-existing with high-speed classical communication in SDM transmission media is needed. In this paper, we present analytical models of the noise sources in QKD links over heterogeneous MCFs. Spontaneous Raman scattering and inter-core crosstalk are experimentally characterized over spans of MCFs with different refractive index profiles, emulating shared telecom traffic conditions. Lower bounds for the secret key rates and quantum bit error rate (QBER) due to different core/wavelength allocation are obtained to validate intra- and inter-core co-existence of QKD and classical telecommunication.","2169-3536","","10.1109/ACCESS.2020.2990186","Ceniit–Linköping University, Swedish Research Council; Swedish Foundation for Strategic Research (SSF); Göran Gustafsson Foundation; Celtic-Plus sub-project SENDATE-EXTEND funded by Vinnova; EU H2020 project TWILIGHT(grant numbers:871741); Vinnova funded project Centre for Software-Defined Optical Networks; National Natural Science Foundation of China(grant numbers:61722108); H2020 NEWMAN Project(grant numbers:752826); AoA ICT seed project and Genie project funded by Chalmers University of Technology Foundation; Tektronix for equipment loan; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9078126","Quantum key distribution;spatial division multiplexing;telecommunications;communication system security","Photonics;Resource management;Telecommunications;Multiplexing;Optical fiber networks;Media","data communication;error statistics;next generation networks;optical crosstalk;optical fibre networks;private key cryptography;quantum cryptography;quantum theory;Raman spectra;space division multiplexing","refractive index profiles;telecom traffic conditions;core-wavelength allocation;spontaneous Raman scattering;high-speed classical communication;signal propagation;spatial division multiplexing;telecommunication compatibility;heterogeneous MCF;inter-core co-existence;quantum bit error rate;secret key rates;inter-core crosstalk;QKD links;SDM transmission media;high-speed classical communication;telecom compatibility;quantum states;QKD channel;optical telecommunication systems;next-generation optical communication infrastructure;multicore fibers;computational complexity;quantum mechanics;data communication;homogenous multicore fiber;quantum key distribution","","8","","38","CCBY","24 Apr 2020","","","IEEE","IEEE Journals"
"Quantum Random Number Generator Using Only One Single-Photon Detector","E. de Jesus Lopes Soares; F. A. Mendonca; R. V. Ramos","Teleinformatic Engineering Department, Federal University of Ceara, Fortaleza, Brazil; Federal Institute of Education, Science and Technology of Ceara, Fortaleza, Brazil; Teleinformatic Engineering Department, Federal University of Ceara, Fortaleza, Brazil","IEEE Photonics Technology Letters","8 Apr 2014","2014","26","9","851","853","Quantum random number generators (QRNGs) have important applications in cryptographic protocols, games, and lotteries, among others. In contrast with software-based pseudorandom number generators, the number sequence generated is truly random. Most QRNGs found in the literature are based on single-photon sources and detectors. In this letter, we discuss the advantages and disadvantages of a QRNG that uses only one single-photon detector and weak coherent or thermal states as light source.","1941-0174","","10.1109/LPT.2014.2302436","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6729066","Quantum random number generator;single-photon detector;coherent and thermal states","Detectors;Photonics;Generators;Logic gates;Radiation detectors;Light sources;Optical detectors","light coherence;photodetectors;quantum computing;quantum optics;random number generation","quantum random number generator;single-photon detector;coherent states;thermal states;light source;QRNG","","8","","9","IEEE","30 Jan 2014","","","IEEE","IEEE Journals"
"The Feasibility of the CRYSTALS-Kyber Scheme for Smart Metering Systems","V. L. R. D. Costa; Â. Camponogara; J. López; M. V. Ribeiro","Electrical Engineering Department, Federal University of Juiz de Fora (UFJF), Juiz de Fora, Brazil; Electrical Engineering Department, Federal University of Paraná, Curitiba, Brazil; Institute of Computing, Campinas State University (UNICAMP), Campinas, Brazil; Electrical Engineering Department, Federal University of Juiz de Fora (UFJF), Juiz de Fora, Brazil","IEEE Access","21 Dec 2022","2022","10","","131303","131317","This paper investigates the feasibility of a quantum-secure Key Encapsulation Mechanism (KEM) in hardware constrained Smart Meter (SM) equipment. In this sense, the Cryptographic Suite for Algebraic Lattices (CRYSTALS)-Kyber scheme, the new standard for post-quantum Public-Key Encryption (PKE) systems chosen by the post-quantum cryptography (PQC) standardization process, is scrutinized and implemented in a System-on-a-Chip (SoC) Field Programmable Gate Array (FPGA) device. Experimental results show that the proposed hardware/software co-design implementation of the CRYSTALS-Kyber scheme in an SoC FPGA device reduces its execution time by around 70% compared to its software implementation. Moreover, the hardware resource analysis shows that the proposed hardware/software co-design implementation of the CRYSTALS-Kyber scheme in an SoC device is feasible for SM equipment.","2169-3536","","10.1109/ACCESS.2022.3229521","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES)(grant numbers:001); Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq)(grant numbers:404068/2020-0,314741/2020-8); Fundação de Amparo à Pesquisa do Estado de Minas Gerais (FAPEMIG)(grant numbers:APQ-03609-17,TEC-PPM 00787-18); Instituto Nacional de Energia Elétrica (INERGE); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9987505","Data security;post-quantum cryptography;system-on-a-chip;smart metering","Cryptography;Field programmable gate arrays;Hardware;Security;Software;Reduced instruction set computing;Quantum computing","cryptography;field programmable gate arrays;public key cryptography;quantum cryptography;system-on-chip","Algebraic Lattices-Kyber scheme;CRYSTALS-Kyber scheme;post-quantum cryptography standardization process;post-quantum Public-Key Encryption systems;quantum-secure Key Encapsulation Mechanism;Smart Meter equipment;Smart metering systems;SoC FPGA device;software implementation;System-on-a-Chip Field Programmable Gate Array device","","","","57","CCBY","15 Dec 2022","","","IEEE","IEEE Journals"
"Three-Input NPN Class Gate Library for Atomic Silicon Quantum Dots","M. D. Vieira; S. S. H. Ng; M. Walter; R. Wille; K. Walus; R. S. Ferreira; O. P. V. Neto; J. A. M. Nacif","Universidade Federal de Viçosa, Florestal, Brazil; Department of Electrical and Computer Engineering, University of British Columbia, Vancouver, BC, Canada; Chair for Design Automation Technical University of Munich, München, Germany; Chair for Design Automation Technical University of Munich, München, Germany; Department of Electrical and Computer Engineering, University of British Columbia, Vancouver, BC, Canada; Universidade Federal de Viçosa, Viçosa, Brazil; Department of Computer Science, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; Universidade Federal de Viçosa, Florestal, Brazil","IEEE Design & Test","25 Oct 2022","2022","39","6","147","155","This article proposes a complete three-input gate library using atomic silicon quantum dots made of silicon dangling bonds. ","2168-2364","","10.1109/MDAT.2022.3189814","Conselho Nacional de Desenvolvimento Cient?fico e Tecnol?gico; Coordena??o de Aperfei?oamento de Pessoal de N?vel Superior; Funda??o de Amparo ? Pesquisa do Estado de Minas Gerais; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9825688","Atomic Silicon Quantum-dot;Gate Library;Three-input Gates;Silicon Dangling Bonds;SiQAD","Logic gates;Solid modeling;Silicon;Wires;Quantum dots;Layout","dangling bonds;elemental semiconductors;semiconductor quantum dots;silicon","atomic silicon quantum dots;input NPN class gate library;silicon dangling bonds;three-input gate library","","4","","12","IEEE","11 Jul 2022","","","IEEE","IEEE Magazines"
"Manta Ray Foraging Optimization Approaches on Multivariable PID Controller Tuning","Y. L. Souza Lúcio; L. S. A. Da Silva; V. Cocco Mariani; L. Dos Santos Coelho","Electrical Engineering Graduate Program (PPGEE), Federal University of Parana (UFPR), Curitiba, Brazil; Electrical Engineering Graduate Program (PPGEE), Federal University of Parana (UFPR), Curitiba, Brazil; Department of Electrical Engineering, Mechanical Engineering Graduate Program (PPGEM), Pontifical Catholic University of Parana (PUCPR), and Federal University of Parana (UFPR), Curitiba, Parana, Brazil; Department of Electrical Engineering, Industrial and Systems Engineering Graduate Program (PPGEPS), Pontifical Catholic University of Parana (PUCPR), and Federal University of Parana (UFPR), Curitiba, Brazil","2023 IEEE Congress on Evolutionary Computation (CEC)","25 Sep 2023","2023","","","1","8","This work presents a performance comparison between the newly developed Manta Ray Foraging Optimization (MRFO) and two different variants created for tuning a decentralized fractional order proportional-integral-derivative (FOPID) controller for a multiple-input multiple-output (MIMO) application. The application consists of a ball mill pulverizing system to pulverize coal and maximize fuel efficiency. MRFO and its applications have the task of finding the optimal controller variable values to control the system's temperature and pressure. The MRFO is a metaheuristic based on the behavior of manta rays, and although it shows efficient performance it may be improved through the use of techniques which generate new variants of the algorithm. Two techniques were used in the de-velopment of new variants: Quantum mechanics and opposition-based learning. The three different versions of MRFO were used to minimize a custom fitness function which is a combination of the integral time squared error (ITSE) and the overshoot of the system response. Simulations were carried using Simulink and Matlab softwares. For analyzing the performances, statistical measures such as minimum, maximum, best, mean, median, and standard deviation of the fitness function over 50 runs were used. Additionally, the different variants were also compared for minimizing 10 benchmark functions. The results show that the use of the previously mentioned techniques improve the performance of the original MRFO in optimizing the FOPID to control the ball mill pulverizing system.","","979-8-3503-1458-8","10.1109/CEC53210.2023.10254147","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10254147","Proportional- Integral- Derivative Control;Manta Ray Foraging Optimization;Oppositional-Based Learning;Quantum Mechanics;Multiple-Input Multiple-Output Application","Software packages;Metaheuristics;Quantum mechanics;Temperature control;PD control;Task analysis;Tuning;Standards;MIMO communication;Matlab","artificial bee colony algorithm;control system synthesis;metaheuristics;optimal control;optimisation;three-term control","ball mill pulverizing system;best deviation;custom fitness function;decentralized fractional order proportional-integral-derivative;fuel efficiency;integral time;Manta Ray Foraging Optimization approaches;manta rays;maximum deviation;mean deviation;median, deviation;mentioned techniques;minimum deviation;multiple-input multiple-output application;multivariable PID controller;newly developed Manta Ray Foraging Optimization;opposition;optimal controller variable values;original MRFO;standard deviation;system response","","","","30","IEEE","25 Sep 2023","","","IEEE","IEEE Conferences"
"A Portable Surface Plasmons Resonance Sensor Based on Single-Board Computer","A. K. L. Freitas; L. C. Oliveira","Graduate Program in Electrical Engineering, Universidade Federal Rural do Semi-Árido, Mossoró, Brazil; Graduate Program in Electrical Engineering, Universidade Federal Rural do Semi-Árido, Mossoró, Brazil","IEEE Transactions on Instrumentation and Measurement","13 Jan 2023","2023","72","","1","9","The development of portable surface plasmons resonance (SPRs) are recently boosted by the use of instrumentation based on small-size single-board computer (SBC) platforms. The SPR and SBC combination is ideal for advances in direction of miniaturization and portability, however many scientific and engineering solutions yet required a computer connection for operation, and reported portable sensors in which hardware and software resources are misused. Here a standalone portable SPR based on an SBC is presented. The sensor operates without the need for another device, computer, or connection. Designed to work with thicker (3 mm thick) or thin (1.5 mm) biochips to support surface plasmons (SPs) and avoid rotational parts, a set of special structures was designed to encapsulate all electronics and optical elements. Composed of modular parts manufactured in a 3-D printer, the proposed arrangement enables quick maintenance and repair actions, eventually required for field applications. The chassis piece enclosure the components and fit the touchscreen. A replaced top cover piece enables the exchange of the thicker- and thin- biochips. And a back lid gives access to the internal components, where moving parts are designed and included to improve mechanical alignment. The sensor was optimized to Raspberry Pi SBC. The Python-based embedded software implements algorithms for acquiring, processing, displaying, storing, and delivering the SPR responses. To demonstrate the solution feasibility a Raspberry pi 3 model B was used. The well knows biochips PPBIO (Prism BIOchip) (thicker) and diffractive optical coupling element (DOCE) (thin) were attached to the proposed SBC-SPR Sensor. Those biochips dismissed index-matching gels and rotate parts, which benefits the sensing labor cost. Experiments of aqueous solutions were performed with a sensor operating in the so-called angular interrogation mode (AI mode). The results indicate the capability of phenomena excitation and sensor arrangement. The sensitivity figure-of-merit (FOM) was achieved in the order of 160°/RIU, similar to the performance of traditional set-up for those biochips.","1557-9662","","10.1109/TIM.2022.3229720","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES); Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq); Universidade Federal Rural do Semi-Árido (UFERSA); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9989399","3-D printer sensor;portable sensor;Raspberry pi;single-board computer (SBC);surface plasmons resonance (SPRs)","Biochips;Lenses;Optical sensors;Biomedical optical imaging;Cameras;Optical imaging;Surface plasmons","biological techniques;biology computing;computerised instrumentation;diffractive optical elements;lab-on-a-chip;microcomputers;microsensors;optical couplers;optical prisms;optical sensors;portable instruments;Python;surface plasmon resonance;three-dimensional printing","3D printer;AI mode;angular interrogation mode;chassis piece;diffractive optical coupling element;DOCE;index-matching gels;optical elements;portable surface plasmons resonance sensor;prism BIOchip;Python-based embedded software;quick maintenance;Raspberry Pi 3 model B;Raspberry Pi SBC;rotational parts;SBC-SPR sensor;single-board computer;size 1.5 mm;size 3.0 mm;software implements algorithms;software resources;SPR responses;standalone portable SPR sensors","","","","46","IEEE","15 Dec 2022","","","IEEE","IEEE Journals"
"Delay Estimation of Industrial IoT Applications Based on Messaging Protocols","P. Ferrari; A. Flammini; E. Sisinni; S. Rinaldi; D. Brandão; M. S. Rocha","Department of Information Engineering, University of Brescia, Brescia, Italy; Department of Information Engineering, University of Brescia, Brescia, Italy; Department of Information Engineering, University of Brescia, Brescia, Italy; Department of Information Engineering, University of Brescia, Brescia, Italy; Electrical Engineering Department, University of São Paulo, São Carlos, Brazil; Electrical Engineering Department, University of São Paulo, São Carlos, Brazil","IEEE Transactions on Instrumentation and Measurement","9 Aug 2018","2018","67","9","2188","2199","Information and operational technologies merge into the so-called industrial Internet of Things, which is one of the basic pillars of the Industry 4.0 paradigm. Roughly speaking, yet-to-come services will be offered in the automation scenario by industrial devices having an internet connection for sharing data in the cloud. Currently, most efforts are in the development of protocols able to ensure horizontal interoperability among heterogeneous applications. Consequently, poor attention is devoted to time-related performance. In this paper, a new, full software, platform-independent approach is proposed for experimentally evaluating the delay in transferring information across local and intercontinental routes by applications leveraging on messaging middleware. The application is realized using the node-RED web-based framework, due to its availability on different platforms; the widely accepted message queue telemetry transport protocol has been chosen thanks to its low overhead and complexity. For sake of completeness, five different, private and public, brokers are used. The adopted industrial-grade hardware, complemented by global positioning system time reference, permits an overall synchronization and timestamping accuracy of a few milliseconds. The vast measurement campaign highlighted that, generally, quality of service (QoS) type 1 offers low end-to-end delay (average value less than 0.5 s) with reduced variability (0.1 s). However, the maximum end-to-end one-way delay ranges from 1 s for QoS 0 to less than 1.5 s for fully acknowledged QoS 2.","1557-9662","","10.1109/TIM.2018.2813798","“Brescia Smart Living: Integrated Energy and Services for the Enhancement of the Welfare”(grant numbers:MIUR SCN00416); University of Brescia H&W(grant numbers:“AQMaSC.”); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8330035","Automation networks;cloud computing;cloud manufacturing (CM);distributed measurement systems;Industry 4.0;Internet of Things (IoT);node-RED","Protocols;Delays;Industries;Cloud computing;Automation;Internet of Things;Quality of service","delay estimation;Internet;Internet of Things;middleware;open systems;production engineering computing;quality of service;telemetry;transport protocols","messaging protocols;operational technologies;automation scenario;industrial devices;horizontal interoperability;heterogeneous applications;platform-independent approach;messaging middleware;node-RED web-based framework;industrial-grade hardware;global positioning system time reference;delay estimation;industrial IoT applications;Internet connection;message queue telemetry transport protocol;end-to-end delay;QoS;information technologies;industrial Internet of Things;end-to-end one-way delay;Industry 4.0 paradigm;time 1.0 s;time 1.5 s;time 0.5 s;time 0.1 s","","85","","42","IEEE","3 Apr 2018","","","IEEE","IEEE Journals"
"Information-Theoretically Secure String Commitments Based on Packet Reordering Channels","V. de Morais Alves; R. Dowsley; R. T. de Sousa; A. C. A. Nascimento","Electrical Engineering Department, National Science and Technology Institute on Cybersecurity, University of Brasília (UnB), Brasília, Brazil; Department of Software Systems and Cybersecurity, Faculty of Information Technology, Monash University, Clayton, VIC, Australia; Electrical Engineering Department, National Science and Technology Institute on Cybersecurity, University of Brasília (UnB), Brasília, Brazil; School of Engineering and Technology, University of Washington Tacoma, Tacoma, WA, USA","IEEE Access","19 Oct 2021","2021","9","","139928","139945","Realizing fundamental cryptographic primitives with unconditional security is a central topic in information-theoretic cryptography. These primitives can be realized based on physical assumptions, such as the existence of noisy channels, an upper bound on the storage capacity, or the laws of quantum mechanics. Palmieri and Pereira [1] demonstrated that delays in communication channels can be used as a reasonable and effective assumption to obtain an unconditionally secure oblivious transfer protocol against honest-but-curious adversaries. While any oblivious transfer protocol secure against malicious adversaries can be used to implement commitment, the reduction does not work if the oblivious transfer protocol is only secure against honest-but-curious adversaries. Thus, the question of obtaining a secure commitment protocol based on channel delays is still open. In this paper, we provide a concrete protocol for implementing string commitments based on packet reordering – a consequence of channel delays in packet networks.","2169-3536","","10.1109/ACCESS.2021.3118959","CNPq - Brazilian National Research Council(grant numbers:312180/2019-5 PQ-2,465741/2014-2 INCT on Cybersecurity); Brazilian Ministry of the Economy(grant numbers:DIPLA 005/2016,ENAP 083/2016); Administrative Council for Economic Defense(grant numbers:CADE 08700.000047/2019-14); Advocacia-Geral da União(grant numbers:AGU 697.935/2019); National Auditing Department of the Brazilian Health System SUS(grant numbers:DENASUS 23106.118410/2020-85); General Attorney’s Office for the National Treasure(grant numbers:PGFN 23106.148934/2019-67); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9564062","Commitment schemes;packet reordering;unconditional security","Protocols;Security;Noise measurement;Random variables;Cryptography;Entropy;Delays","channel capacity;cryptographic protocols;information theory;telecommunication security","malicious adversaries;honest-but-curious adversaries;secure commitment protocol;channel delays;concrete protocol;packet networks;information-theoretically secure string commitments;packet reordering channels;cryptographic primitives;unconditional security;information-theoretic cryptography;noisy channels;storage capacity;quantum mechanics;communication channels;unconditionally secure oblivious transfer protocol","","","","62","CCBY","8 Oct 2021","","","IEEE","IEEE Journals"
"Securing Smart Meters Through Physical Properties of Their Components","A. E. R. Rincón; W. S. Melo; C. M. de Farias; L. F. R. C. Carmo","Tércio Pacitti Institute of Applied Research in Computer Science, Graduate Program in Informatics, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil; National Institute of Metrology, Quality, and Technology, Duque de Caxias, Brazil; Tércio Pacitti Institute of Applied Research in Computer Science, Program Systems Engineering and Computer Science, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil; National Institute of Metrology, Quality, and Technology, Duque de Caxias, Brazil","IEEE Transactions on Instrumentation and Measurement","21 Dec 2020","2021","70","","1","11","This article presents a security strategy to protect smart meters against attacks that compromise critical electronic components. Many of these attacks consist of stealing energy by manipulating smart meters' measurements. For example, a malicious entity can replace or tamper with components that execute measuring procedures and store sensitive parameters. This type of attack is common on devices, such as smart meters, that are part of environments considered hostile, where attackers have easy access to the device. Therefore, it is necessary to develop techniques in which physical manipulations on smart meters by attackers are unsuccessful. Our strategy uses physical properties from these components to create secure identities for the meter. We present two main contributions. The first one is inspired by physical unclonable functions and extracts unique identifiers from SRAM components. Then, we combine these identifiers to create a strong identity. The other contribution uses physical context information from the voltage levels in the smart meter's power supply to yield dynamic context identities. We also validate our proposals in experiments using a hardware prototype that embeds Arduino microprocessors, SRAM memories, and voltage sensors. The results show that our idea is suitable for implementation in real smart meters and can help protect these devices from attacks against their components.","1557-9662","","10.1109/TIM.2020.3041098","Brazilian agency (Conselho Nacional de Desenvolvimento Científico e Tecnológico) CNPq; Coordenação de Aperfeiçoamento de Pessoal de Nível Superior - Brasil (CAPES); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9277921","Hardware protection;physical context (PC);physical unclonable function (PUF);physical-based identities;smart meters security","Smart meters;Meters;Security;Hardware;Random access memory;Software;Physical unclonable function","microprocessor chips;power engineering computing;security of data;smart meters;SRAM chips","smart meters;physical properties;critical electronic components;physical unclonable functions;unique identifiers;SRAM components;Arduino microprocessors;voltage sensors;physical manipulations","","5","","38","IEEE","2 Dec 2020","","","IEEE","IEEE Journals"
"Graphene-Based Micro-Rectenna","U. C. Resende; T. H. G. Mello; G. A. T. Almeida; S. T. M. Gonçalves","Department of Electrical Engineering, CEFET-MG, Minas Gerais, Brazil; Department of Electrical Engineering, CEFET-MG, Minas Gerais, Brazil; Department of Electrical Engineering, CEFET-MG, Minas Gerais, Brazil; Department of Electrical Engineering, CEFET-MG, Minas Gerais, Brazil","IEEE Transactions on Magnetics","","2023","PP","99","1","1","The increasing demand for sustainable energy generation has often pointed to solar energy as an exceedingly promising alternative. A new procedure to harvest solar energy is using solar rectennas, which are composed of micro-sized antennas and nano diodes. This configuration allows the capture and conversion of electromagnetic energy into direct current. The challenges in developing this technology arise as the wave frequency increases to terahertz spectrum, causing metals to no longer exhibit perfect electrical conductivity (PEC) behavior, and diodes deviate from classical modeling, approaching more towards quantum model. Within this context, this work presents an investigative study on a novel solar rectenna designed to operate at 30 THz. It consists of a micro-bowtie antenna and a geometric diode, both constructed using graphene as conducting material. The antenna is designed using classical electromagnetic theory employing CST software. For the diode, a parametric study is conducted to seek the optimal I-V relationship. Given the complexity and time demands of quantum analysis, an approach utilizing the Monte Carlo method is proposed. The novelty of this approach lies in the time discretization process, triggered only when a collision occurs between the electrons and the rectifier boundaries.","1941-0069","","10.1109/TMAG.2023.3330257","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10309213","Computational Modeling;Monte Carlo Simulations;Graphene;Energy Harvesting","Antennas;Mathematical models;Graphene;Monte Carlo methods;Rectifiers;Solar energy;Semiconductor diodes","","","","","","","IEEE","6 Nov 2023","","","IEEE","IEEE Early Access Articles"
